name,extraction_time,dfa_extract_states,dfa_extract_final,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
13,40.0,8,1,3.338082006953341e-07,3.338082006953341e-07,0.0
22,1.31e+04,487,380,0.00013719517048578231,0.00020228776962137246,0.00017791977097061308
7,2e+04,531,115,0.0003955627178239709,0.0006449174437433854,0.0002800650803833853
28,2.2e+04,514,427,0.0007417218219450323,0.0010391449287645749,0.00035617335014192147
26,38.3,9,4,0.0,0.0,0.0
9,1.62e+04,519,355,0.0002273233846735225,0.00043528589370671566,0.00026871560155974396
11,1.7e+04,517,309,0.00037119471917321147,0.003972985204675867,0.003814092501144887
3,1.2e+04,536,415,0.00014120086889412632,0.0002223162616630925,0.00013385708847882898
5,1.46e+04,530,19,0.022248316576344015,0.011515715307587635,0.022457948126380686
24,1.65e+04,524,287,7.34378041529735e-05,0.00767859004059477,0.007619839797272391
27,1.36e+04,511,227,0.00018593116778730108,0.0002126358238429278,7.877873536409885e-05
21,7.6e+02,70,27,0.00010114388481068623,9.813961100442822e-05,7.677588615992684e-06
19,1.27e+04,504,184,0.03261806833094457,0.06822372005811238,0.05486638490728859
29,2.55e+04,515,149,0.0001351923212816103,0.0006893139344358648,0.0005668063247806773
6,1.35e+04,538,27,0.0001869325923893871,0.0004619905497623424,0.0003318053514911621
16,4.85e+02,31,18,7.544065335714551e-05,7.544065335714551e-05,0.0
20,1.95e+04,516,229,0.00035583954194122615,0.003858822800038062,0.003659873112423643
15,1.25e+04,533,290,3.8054134879268086e-05,0.00022164864526170183,0.00019227352360051244
