name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_extraction,extraction_mistake_after,dfa_extract_states,dfa_extract_final,dfa_extract_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
13,1,0.818,NAN,8,1,2990,1.25,NAN,8,1,2925,36.3,NAN,120000
13,2,0.96,NAN,8,1,3036,0.952,NAN,8,1,3079,36.6,NAN,120000
13,3,0.973,NAN,8,1,3115,0.932,NAN,8,1,3112,36.5,NAN,120000
13,4,0.885,NAN,8,1,3049,1.06,NAN,8,1,3304,36.8,NAN,120000
13,5,0.896,NAN,8,1,3015,1.24,NAN,8,1,3890,36.8,NAN,120000
22,1,1.28,NAN,11,8,3861,2.09,"('e', 'e', 'e', 'c', 'a', 'd')",18,14,6800,4.49,"('e', 'c', 'c', 'a', 'd', 'e', 'b', 'b', 'd', 'd', 'e', 'd', 'd', 'e', 'c')",12000
22,2,1.27,NAN,11,8,3971,1.62,NAN,11,8,4363,12.7,"('c', 'b', 'a', 'c', 'e', 'a', 'b', 'c', 'a', 'b')",33600
7,1,7.16,"('a', 'e', 'd', 'a', 'c', 'd', 'a', 'a', 'b', 'e', 'd', 'b', 'c')",36,13,19004,6.93,"('b', 'c', 'a', 'a', 'c', 'b', 'e', 'c', 'a')",24,5,12723,1.95,"('e', 'c', 'a', 'c', 'b', 'c', 'c', 'd', 'c', 'e', 'b', 'c', 'd', 'a', 'b', 'a', 'e', 'e', 'b', 'e', 'c', 'a', 'e', 'a', 'e', 'c', 'c', 'b', 'e', 'e', 'b', 'c', 'd', 'd', 'b', 'a', 'd', 'd', 'a', 'e', 'd', 'e', 'e', 'b', 'c', 'e', 'e', 'd', 'd', 'a', 'e', 'b', 'a', 'c', 'd', 'c', 'c', 'a', 'd', 'a', 'e', 'b', 'a', 'a', 'e', 'a', 'd', 'e', 'a', 'a', 'd', 'b', 'a', 'b', 'c', 'a', 'b', 'd', 'e')",4600
7,2,16.2,"('d', 'e', 'd', 'd', 'a', 'e', 'b', 'e', 'b', 'a')",32,7,18165,5.03,NAN,31,6,16446,1.52,"('c', 'b', 'e', 'a', 'e', 'b', 'b', 'a', 'b', 'b', 'a', 'e', 'd', 'a', 'e', 'b', 'b', 'b', 'b', 'b', 'd', 'b', 'b', 'b', 'e', 'e', 'a', 'a', 'd', 'e', 'd', 'c', 'd', 'c', 'a', 'd', 'a', 'e', 'b', 'a', 'd', 'b', 'b', 'b', 'e', 'a', 'b', 'b', 'd', 'd', 'b', 'd', 'c', 'b', 'd', 'a', 'd', 'b', 'd', 'a', 'c', 'a', 'c', 'b', 'c', 'a', 'b', 'c')",3600
7,3,2.24,NAN,19,5,8111,2.62e+02,"('b', 'c', 'a', 'a', 'c', 'e')",209,48,1051592,7.62,"('b', 'c', 'a', 'c', 'c', 'b', 'e', 'c', 'c', 'd', 'c', 'b', 'e', 'd', 'c', 'c', 'e', 'c', 'e', 'e', 'd', 'c', 'c', 'a', 'e', 'e', 'c', 'b', 'd', 'e', 'c', 'd', 'b', 'b', 'b', 'c', 'd', 'a', 'a', 'b', 'd', 'a', 'b', 'e', 'a', 'e')",17200
