name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
13,spec_5.dot,7.71,NAN,8,1,27231
13,spec_4.dot,7.58,NAN,8,1,27197
13,spec_1.dot,7.64,NAN,8,1,27197
13,spec_3.dot,7.82,NAN,8,1,27263
13,spec_2.dot,7.83,NAN,8,1,27249
22,spec_1.dot,7.04,"('e', 'e', 'e', 'c', 'a', 'd')",15,12,21089
22,spec_2.dot,5.67,"('b', 'c', 'e', 'e', 'b')",18,14,8060
7,spec_5.dot,20.6,"('b', 'c', 'a', 'a', 'c', 'e')",29,8,23065
7,spec_4.dot,6.02,"('a', 'b', 'd', 'a', 'e', 'b', 'c', 'a', 'a', 'c')",27,6,17866
7,spec_1.dot,16.4,"('b', 'c', 'a', 'd', 'a', 'e', 'b', 'd', 'a')",22,5,11288
7,spec_3.dot,4.09,"('d', 'e', 'd', 'd', 'a', 'e', 'b', 'e', 'd', 'c', 'b', 'b')",29,8,14230
7,spec_2.dot,3.82,"('b', 'c', 'a', 'd', 'a', 'e', 'b', 'd', 'a')",22,5,11365
28,spec_4.dot,4.28,"('a', 'b', 'e', 'e', 'c', 'e', 'c', 'a', 'e', 'a', 'c', 'b', 'b', 'd', 'a')",30,23,14486
28,spec_1.dot,66.8,"('a', 'c', 'e', 'e', 'c', 'e', 'e', 'e', 'a', 'c')",26,22,18141
28,spec_3.dot,11.3,"('a', 'd', 'a', 'd', 'e', 'e', 'd', 'c', 'a', 'a', 'd', 'd', 'e', 'a')",37,32,22766
28,spec_2.dot,11.9,"('a', 'b', 'e', 'e', 'c', 'b', 'e', 'e', 'e', 'c', 'b', 'c')",29,26,19767
26,spec_4.dot,8.17,NAN,9,4,28661
26,spec_1.dot,8.08,NAN,9,4,28631
26,spec_3.dot,8.41,NAN,9,4,28661
26,spec_2.dot,8.33,NAN,9,4,28653
9,spec_5.dot,65.4,"('a', 'a', 'e', 'a', 'b', 'a', 'c', 'b', 'd', 'c', 'e', 'a', 'b', 'c')",32,22,26169
9,spec_4.dot,4.62,"('a', 'a', 'b', 'c', 'd', 'e', 'e', 'c', 'd', 'a')",28,19,15864
9,spec_1.dot,28.1,"('b', 'a', 'b', 'e', 'd', 'a', 'e', 'e', 'd', 'd', 'd', 'c', 'c', 'e', 'c', 'a', 'c')",46,27,38586
