name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
13,spec_5.dot,4.55,NAN,8,1,13488
13,spec_4.dot,4.48,NAN,8,1,13398
13,spec_1.dot,4.75,NAN,8,1,13397
13,spec_3.dot,4.61,NAN,8,1,13436
13,spec_2.dot,4.54,NAN,8,1,13397
22,spec_1.dot,3.89,"('b', 'c', 'e', 'e', 'b')",14,10,10727
22,spec_2.dot,4.68,"('e', 'e', 'e', 'c', 'a', 'd')",13,10,12441
7,spec_5.dot,23.7,"('c', 'd', 'e', 'd', 'd', 'b', 'a', 'd', 'b', 'c', 'c')",33,8,25479
7,spec_4.dot,14.6,"('b', 'c', 'a', 'a', 'c', 'e')",21,5,26309
7,spec_1.dot,35.3,"('d', 'a', 'c', 'e', 'e', 'd', 'd', 'c', 'd', 'e')",30,8,19466
7,spec_3.dot,57.6,"('b', 'c', 'a', 'b', 'd', 'e', 'b', 'e', 'e', 'c', 'a')",55,13,58390
7,spec_2.dot,4.33,"('b', 'c', 'a', 'd', 'a', 'e', 'b', 'd', 'a')",22,5,9973
28,spec_4.dot,4.28,"('e', 'e', 'c', 'd', 'c', 'b', 'b', 'c')",27,21,14192
28,spec_1.dot,5.59,"('a', 'e', 'b', 'b', 'c', 'e', 'b', 'b', 'b', 'b', 'c')",32,29,16334
28,spec_3.dot,10.0,"('c', 'b', 'a', 'b', 'd', 'a', 'c', 'a', 'c')",27,23,12031
28,spec_2.dot,4.37,"('a', 'b', 'e', 'c', 'c', 'c', 'd', 'a', 'b', 'a')",27,22,12512
26,spec_4.dot,4.8,NAN,9,4,14031
26,spec_1.dot,4.75,NAN,9,4,14031
26,spec_3.dot,4.74,NAN,9,4,14061
26,spec_2.dot,4.74,NAN,9,4,14037
9,spec_5.dot,17.7,"('a', 'e', 'e', 'b', 'b', 'd', 'c', 'c', 'c', 'e', 'd')",35,23,27372
9,spec_4.dot,44.7,"('a', 'a', 'a', 'd', 'c', 'e', 'e', 'e', 'b', 'e', 'b', 'e', 'b')",30,18,20670
9,spec_1.dot,34.8,"('c', 'a', 'c', 'a', 'c', 'b', 'a', 'a', 'c', 'a', 'd', 'a')",31,18,21917
9,spec_3.dot,77.2,"('a', 'e', 'e', 'b', 'c', 'a', 'd', 'e', 'e', 'a', 'd')",29,20,21907
