name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
13,spec_5.dot,41.9,NAN,8,1,27197
13,spec_4.dot,40.4,NAN,8,1,27226
13,spec_1.dot,41.1,NAN,8,1,27197
13,spec_3.dot,45.8,NAN,8,1,27384
13,spec_2.dot,45.7,NAN,8,1,27190
22,spec_1.dot,16.3,"('e', 'e', 'e', 'c', 'a', 'd')",14,11,8525
22,spec_2.dot,2.05e+02,"('a', 'c', 'd', 'e', 'd', 'c', 'e', 'e', 'c', 'c', 'c', 'b', 'b')",43,29,45214
7,spec_5.dot,16.3,"('c', 'd', 'e', 'd', 'd', 'c', 'a')",25,6,8856
7,spec_4.dot,99.0,"('a', 'c', 'e', 'b', 'e', 'e', 'b', 'b', 'd', 'e', 'b', 'e', 'e', 'c', 'a')",38,8,23921
7,spec_1.dot,87.4,"('b', 'a', 'a', 'a', 'c', 'c', 'b', 'a', 'a', 'a', 'b', 'b', 'e', 'c')",31,8,25278
7,spec_3.dot,60.1,"('b', 'c', 'a', 'd', 'a', 'e', 'b', 'd', 'a')",24,6,10383
7,spec_2.dot,3.42e+02,"('b', 'a', 'a', 'a', 'd', 'a', 'e', 'b', 'd', 'b', 'e')",52,17,53646
28,spec_4.dot,11.3,"('d', 'a', 'e', 'd', 'e', 'c', 'c', 'd', 'a')",26,22,8826
28,spec_1.dot,11.6,"('a', 'b', 'd', 'a', 'c', 'b', 'b')",24,20,9442
28,spec_3.dot,25.0,"('a', 'b', 'c', 'd', 'd', 'd', 'd', 'b', 'b', 'a')",25,22,9208
28,spec_2.dot,3.76e+02,"('b', 'c', 'd', 'a', 'b', 'a', 'b', 'e', 'e', 'd', 'd', 'b', 'b', 'a', 'b', 'c', 'd', 'a', 'e', 'a', 'a')",54,42,77116
26,spec_4.dot,28.9,NAN,9,4,28653
26,spec_1.dot,28.6,NAN,9,4,28631
26,spec_3.dot,29.7,NAN,9,4,28749
26,spec_2.dot,28.9,NAN,9,4,28667
9,spec_5.dot,27.2,"('a', 'a', 'b', 'c', 'd', 'e', 'e', 'c', 'd', 'a')",32,21,14967
9,spec_4.dot,30.6,"('a', 'a', 'b', 'c', 'd', 'e', 'e', 'c', 'd', 'a')",30,21,19112
9,spec_1.dot,27.9,"('a', 'e', 'e', 'b', 'b', 'e', 'd', 'd', 'e', 'a')",30,19,13441
9,spec_3.dot,31.8,"('a', 'e', 'e', 'b', 'b', 'e', 'd', 'a', 'd', 'a', 'd')",28,19,13782
9,spec_2.dot,44.4,"('a', 'a', 'b', 'd', 'd', 'd', 'a', 'd', 'a', 'd', 'd')",35,23,17409
11,spec_5.dot,26.2,"('c', 'b', 'a', 'a', 'd', 'a', 'b', 'a')",32,20,16408
11,spec_4.dot,65.5,"('c', 'b', 'a', 'a', 'd', 'a', 'b', 'a')",32,20,17295
11,spec_1.dot,26.4,"('c', 'b', 'a', 'a', 'd', 'a', 'b', 'a')",31,20,17237
11,spec_3.dot,21.8,"('c', 'b', 'a', 'a', 'd', 'a', 'b', 'a')",31,20,15234
11,spec_2.dot,73.9,"('c', 'b', 'd', 'e', 'a', 'b', 'd', 'e', 'a', 'd', 'b', 'd', 'c')",40,31,28520
3,spec_5.dot,1.29e+02,"('a', 'a', 'c', 'a', 'e', 'a', 'a', 'c', 'd', 'e', 'c')",44,27,44013
3,spec_4.dot,91.3,"('b', 'd', 'c', 'b', 'a', 'b', 'b', 'c')",45,35,37671
