name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
13,spec_5.dot,1.32,NAN,8,1,3054,51.8,NAN,120000
13,spec_4.dot,4.9,NAN,8,1,3125,52.8,NAN,120000
13,spec_1.dot,3.85,NAN,8,1,2997,52.2,NAN,120000
13,spec_3.dot,4.0,NAN,8,1,3059,52.2,NAN,120000
13,spec_2.dot,3.83,NAN,8,1,2997,53.6,NAN,120000
22,spec_1.dot,5.77,NAN,11,8,3888,2.38,"('b', 'c', 'e', 'e', 'b', 'e', 'b', 'c', 'c', 'd', 'b', 'c', 'a')",4000
22,spec_2.dot,5.0,NAN,11,8,3888,8.16,"('a', 'a', 'a', 'd', 'd', 'a', 'c', 'c', 'e', 'e', 'e', 'c', 'c', 'b', 'c', 'b', 'e', 'c', 'd', 'b', 'c', 'e', 'e', 'e', 'd', 'd', 'c', 'c', 'e', 'c', 'd', 'c', 'c', 'd', 'e', 'd', 'b', 'c', 'c', 'd', 'a', 'c', 'c', 'a', 'a', 'e', 'a', 'b', 'e', 'a', 'd', 'c', 'e', 'b', 'd', 'c', 'd', 'c', 'b', 'b', 'a', 'd', 'd', 'e', 'c', 'a', 'e', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'c', 'a', 'd', 'e', 'e', 'a', 'd', 'a', 'b', 'c', 'a', 'b', 'b', 'b', 'c', 'c', 'c', 'a', 'e', 'd', 'c', 'a', 'd', 'c', 'e', 'd', 'b', 'd', 'a', 'e', 'c', 'c', 'c', 'd', 'd', 'd', 'e', 'a', 'd', 'c', 'e', 'e', 'e', 'b', 'e', 'd', 'e', 'a', 'a', 'e', 'c', 'e', 'e', 'c', 'e', 'b', 'c', 'a', 'c', 'b', 'd', 'a', 'c', 'b', 'd', 'c', 'b', 'c', 'd', 'a', 'a', 'e', 'c', 'b', 'b', 'd', 'c', 'c', 'd', 'a', 'c', 'a', 'e', 'a', 'c', 'c', 'b', 'b', 'b', 'a', 'd', 'c', 'b', 'c', 'a', 'a', 'a', 'e', 'b', 'b', 'b', 'b', 'c', 'd', 'e', 'e', 'b', 'c', 'b', 'b', 'c', 'e', 'd', 'b', 'd', 'd', 'd', 'c', 'd', 'a', 'a', 'a', 'd', 'a', 'b', 'b', 'e', 'c', 'e', 'b', 'd', 'a', 'b', 'c', 'b', 'e', 'a', 'a', 'd', 'a', 'd', 'e', 'c', 'a', 'e', 'd', 'b', 'c', 'b', 'd', 'a', 'd', 'a', 'a', 'a', 'b', 'b', 'd', 'd', 'c', 'd', 'd', 'e', 'c', 'c', 'e', 'b', 'e', 'b', 'c', 'c', 'd', 'a', 'b', 'd', 'b', 'b', 'c', 'c', 'd', 'b', 'a', 'e', 'b', 'd', 'c', 'b', 'c', 'b', 'c', 'e', 'd', 'c', 'a', 'e', 'c', 'a', 'c', 'd', 'c', 'b', 'b', 'e', 'c', 'b', 'b', 'a', 'e', 'c', 'c', 'e', 'c', 'b', 'a', 'b', 'b', 'a', 'a', 'b', 'd', 'b', 'b', 'd', 'd', 'd', 'a', 'a', 'a', 'b', 'c', 'c', 'e', 'b', 'a', 'd', 'a', 'c', 'c', 'd', 'e', 'a', 'b', 'e', 'b', 'e', 'a', 'b', 'd', 'e', 'd', 'a', 'e', 'a', 'c', 'b', 'b', 'e', 'a', 'd', 'a', 'b', 'e', 'a', 'b', 'd', 'e', 'e', 'e', 'b', 'c', 'b', 'd', 'b', 'd', 'c', 'b', 'e', 'c', 'e', 'b', 'b', 'c', 'a', 'b', 'e', 'd', 'c', 'c', 'b', 'a', 'e', 'a', 'b', 'a', 'b', 'e', 'c', 'd', 'd', 'b', 'b', 'e', 'e', 'a', 'c', 'b', 'd', 'e', 'd', 'd', 'b', 'a', 'e', 'd', 'b', 'e', 'e', 'd', 'c', 'e', 'd', 'c', 'd', 'd', 'e', 'd', 'd', 'd', 'e')",14200
7,spec_5.dot,51.9,"('a', 'b', 'd', 'b', 'a', 'a', 'b', 'd', 'e', 'e')",25,5,11766,2.06,"('a', 'a', 'c', 'b', 'e', 'd', 'a', 'c', 'e', 'b', 'd', 'a', 'e', 'e', 'a', 'b', 'e', 'b', 'e', 'e', 'b', 'b', 'b', 'b', 'a', 'a', 'e', 'd', 'd', 'c', 'b', 'e', 'c', 'd', 'c', 'a', 'e', 'b', 'b', 'e', 'e', 'c', 'a', 'e', 'd', 'd', 'a', 'd', 'e', 'e', 'e', 'e', 'b', 'c', 'c', 'd', 'b', 'c', 'a', 'b', 'd', 'c', 'b', 'a', 'b', 'c', 'a', 'a', 'a', 'c', 'c', 'b', 'c', 'c', 'b', 'e', 'a', 'd', 'b', 'd', 'c', 'c', 'e', 'c', 'd', 'e', 'b', 'b', 'a', 'b', 'a', 'b', 'c', 'a', 'c', 'c', 'a', 'a', 'c', 'a', 'a', 'b', 'e', 'c', 'd', 'b', 'c', 'c', 'c', 'e', 'b', 'e', 'e', 'c', 'd', 'd', 'b', 'b', 'b', 'a', 'a', 'a', 'a', 'e', 'a', 'c', 'c', 'd', 'b', 'c', 'e', 'd', 'c', 'a', 'e', 'e', 'a', 'b', 'd', 'e', 'c', 'd', 'a', 'a', 'd', 'c', 'c', 'c', 'c', 'a', 'd', 'e', 'a', 'a', 'd', 'b', 'c', 'e', 'e', 'c', 'a', 'e', 'e', 'e', 'd', 'a', 'c', 'a', 'a', 'e', 'b', 'e', 'b', 'c', 'a', 'c', 'c', 'e', 'b', 'a', 'a', 'd', 'a', 'd', 'a', 'b', 'd', 'a', 'd', 'c', 'e', 'a', 'e', 'a', 'a', 'd', 'c', 'a', 'c', 'e', 'a', 'd', 'e', 'e', 'e', 'e', 'c', 'e', 'b', 'e', 'b')",2800
7,spec_4.dot,11.1,NAN,19,5,7919,1.17,"('a', 'a', 'c', 'a', 'b', 'a', 'd', 'e', 'e', 'd', 'a', 'e', 'd', 'b', 'c', 'b', 'a', 'd', 'b', 'b', 'b', 'b', 'a', 'c', 'c', 'b', 'd', 'e', 'a', 'a', 'e', 'e', 'b', 'b', 'c', 'a', 'd', 'd', 'c', 'b', 'e', 'e', 'd', 'b', 'c', 'd', 'c', 'b', 'e', 'e', 'd', 'c', 'b', 'e', 'b', 'd', 'c', 'e', 'b', 'a', 'b', 'b', 'c', 'e', 'e', 'a', 'b', 'b', 'a', 'c', 'a', 'e', 'a', 'e', 'b', 'b', 'd', 'e', 'e', 'a', 'b', 'e', 'a', 'd', 'c', 'b', 'b', 'c', 'a', 'b', 'd', 'e', 'e', 'd', 'b', 'd', 'c', 'd', 'e', 'c', 'b', 'e', 'a', 'e', 'e', 'a', 'a', 'e', 'e', 'c', 'b', 'c', 'd', 'a', 'd', 'a', 'd', 'b', 'd', 'd', 'e', 'a', 'c', 'a', 'd', 'e', 'a', 'd', 'd', 'd', 'e', 'e', 'd', 'b', 'd', 'e', 'd', 'd', 'c', 'a')",1600
7,spec_1.dot,26.4,NAN,19,5,8798,13.0,"('b', 'd', 'e', 'd', 'd', 'b', 'b', 'c', 'c', 'b', 'c', 'd', 'a', 'b', 'd', 'a', 'd', 'c', 'b', 'e', 'd', 'a', 'a', 'a', 'e', 'e', 'b', 'b', 'a', 'e', 'c', 'd', 'b', 'b', 'b', 'c', 'c', 'b', 'b', 'a', 'b', 'e', 'e', 'c', 'a', 'b', 'c', 'd', 'd', 'a', 'c', 'a', 'e', 'b', 'c', 'd', 'd', 'c', 'd', 'c', 'd', 'e', 'e', 'b', 'd', 'a', 'd', 'a', 'b', 'c', 'b', 'a', 'e', 'a', 'a', 'e', 'a', 'a', 'a', 'd', 'a', 'a', 'd', 'b', 'c', 'd', 'a', 'a', 'e', 'd', 'c', 'e', 'e', 'e', 'e', 'b', 'c', 'b', 'c', 'a', 'd', 'b', 'd', 'e', 'e', 'c', 'a', 'b', 'c', 'a', 'a', 'c', 'a', 'd', 'a', 'b', 'c', 'b', 'a', 'a', 'b', 'b', 'a', 'b', 'd', 'e', 'a', 'd', 'e', 'e', 'a', 'b', 'e', 'a', 'a', 'e', 'e', 'e', 'd', 'a', 'b', 'b', 'd', 'c', 'b', 'e', 'b', 'a', 'e', 'b', 'e', 'c', 'a', 'c', 'd', 'b', 'e', 'b', 'a', 'd', 'a', 'b', 'd', 'b', 'a', 'd', 'a', 'c', 'd', 'a', 'd', 'e', 'e', 'b', 'e', 'b', 'e', 'a', 'c', 'c', 'e', 'd', 'c', 'a', 'd', 'e', 'd', 'e', 'c', 'e', 'b', 'e', 'b', 'c', 'b', 'd', 'c', 'c', 'c', 'c', 'b', 'd', 'b', 'b', 'c', 'e', 'd', 'b', 'e', 'e', 'a', 'a', 'd', 'b', 'c', 'e', 'd', 'c', 'e', 'b', 'd', 'd', 'e', 'c', 'a', 'c', 'a', 'c', 'd', 'e', 'a', 'a', 'd', 'a', 'e', 'a')",17000
7,spec_3.dot,1.33e+02,"('b', 'e', 'b', 'c', 'c', 'c', 'd', 'c', 'd', 'd', 'd', 'd', 'e')",41,9,30555,5.72,"('a', 'c', 'b', 'e', 'a', 'c', 'b', 'c', 'b', 'c', 'a', 'e', 'c', 'b', 'b', 'e', 'b', 'b', 'c', 'a', 'd', 'a', 'e', 'e', 'c', 'b', 'a', 'b', 'e', 'e', 'c', 'a', 'd', 'd', 'e', 'b', 'a', 'e', 'a', 'c', 'd', 'b', 'c', 'd', 'd', 'e', 'a', 'b', 'a', 'e', 'd', 'a', 'd', 'b', 'b', 'a', 'd', 'b', 'a', 'e', 'c', 'e', 'c', 'c', 'b', 'a', 'e', 'c', 'b', 'b', 'b', 'e', 'a', 'e', 'b', 'b', 'c', 'c', 'e', 'd', 'c', 'd', 'b', 'c', 'c', 'b', 'a', 'd', 'e', 'b', 'a', 'b', 'b', 'c', 'b', 'a', 'b', 'b', 'a', 'a', 'e', 'c', 'e', 'e', 'e', 'e', 'd', 'd', 'c', 'b', 'd', 'b', 'd', 'b', 'a', 'e', 'e', 'a', 'c', 'c', 'e', 'e', 'a', 'd', 'e', 'd', 'c', 'a', 'c', 'c', 'a', 'c', 'a', 'b', 'b', 'e', 'e', 'b', 'd', 'b', 'a', 'a', 'd', 'b', 'd', 'b', 'c', 'e', 'a', 'e', 'b', 'b', 'e', 'b', 'e', 'e', 'e', 'd', 'a', 'c', 'e', 'b', 'd', 'b', 'd', 'b', 'd', 'd', 'e', 'b', 'b', 'b', 'a', 'b', 'b', 'd', 'b', 'e', 'a', 'e', 'a', 'e', 'b', 'e', 'd', 'd', 'd', 'a', 'c', 'e', 'b', 'd', 'b', 'c', 'c', 'b', 'c', 'b', 'e', 'd', 'c', 'a', 'e', 'c', 'd', 'b', 'a', 'b', 'a', 'd', 'd', 'e', 'b', 'd', 'c', 'c', 'a', 'c', 'e', 'c', 'b', 'a', 'd', 'c', 'a', 'b', 'c', 'a', 'e', 'c', 'e', 'b', 'c', 'a', 'a', 'c', 'd', 'e', 'e', 'e', 'c', 'a', 'e', 'e', 'e', 'a')",8000
7,spec_2.dot,15.0,NAN,19,5,8067,0.37,"('b', 'b', 'e', 'a', 'a', 'd', 'b', 'e', 'c', 'd', 'd', 'd', 'b', 'c', 'c', 'd', 'a', 'b', 'e', 'b', 'c', 'e', 'e', 'b', 'd', 'b', 'd', 'b', 'e', 'c', 'c', 'b', 'e', 'e', 'a', 'b', 'b', 'e', 'a', 'd', 'a', 'e', 'd', 'e', 'b', 'd', 'd', 'b', 'a', 'e', 'b', 'c', 'a', 'c', 'c', 'e', 'c', 'e', 'a', 'b', 'b', 'c', 'b', 'd', 'd', 'd', 'b', 'b', 'b', 'e', 'b', 'c', 'e', 'a', 'a', 'a', 'd', 'a', 'd', 'a', 'b', 'a', 'b', 'b', 'c', 'a', 'd', 'a', 'e', 'b', 'd', 'e')",600
28,spec_4.dot,16.0,"('a', 'c', 'e', 'e', 'd', 'd', 'c')",26,23,9843,1.32,"('b', 'a', 'b', 'e', 'b', 'b', 'b', 'b', 'd', 'b', 'b', 'c', 'e', 'c', 'c', 'a', 'a', 'b', 'd', 'd', 'b', 'a', 'b', 'c', 'e', 'b', 'a', 'c', 'd', 'd', 'c', 'e', 'c', 'a', 'e', 'd', 'a', 'c', 'c', 'a', 'a', 'a', 'b', 'a', 'b', 'c', 'd', 'd', 'e', 'c', 'a', 'b', 'd', 'e', 'b', 'c', 'e', 'a', 'd', 'b', 'b', 'd', 'd', 'd', 'd', 'd', 'b', 'c', 'e', 'b', 'd', 'e', 'c', 'c', 'b', 'b', 'd', 'c', 'e', 'd', 'd', 'b', 'b', 'd', 'd', 'a', 'e', 'c', 'b', 'd', 'a')",1400
28,spec_1.dot,3.5e+02,"('b', 'c', 'd', 'd', 'c', 'a', 'b', 'e', 'c', 'c', 'd', 'c', 'b')",54,46,57934,2.16,"('d', 'c', 'a', 'a', 'c', 'd', 'c', 'e', 'c', 'c', 'c', 'd', 'b', 'b', 'e', 'd', 'c', 'a', 'd', 'b', 'c', 'd', 'b', 'e', 'a', 'd', 'b', 'd', 'd', 'd', 'd', 'b', 'e', 'd', 'b', 'd')",2200
28,spec_3.dot,24.3,"('a', 'd', 'e', 'e', 'd', 'd', 'b', 'a', 'e', 'b')",30,26,12584,3.98,"('a', 'c', 'e', 'e', 'c', 'e', 'e', 'c', 'e', 'a', 'b', 'b', 'b', 'd', 'a', 'a', 'b', 'c', 'a', 'b', 'e', 'e', 'e', 'c', 'd', 'e', 'd', 'd', 'd', 'e', 'b', 'c', 'e', 'a', 'd', 'a', 'e', 'e', 'a', 'd', 'd', 'd', 'b', 'd', 'a', 'a', 'b', 'b', 'e', 'e', 'e', 'b')",3800
28,spec_2.dot,2.74e+02,"('a', 'c', 'd', 'a', 'c', 'd', 'b', 'c', 'e', 'd', 'c', 'b', 'd', 'c', 'a')",51,44,52788,3.56,"('d', 'c', 'e', 'a', 'e', 'b', 'c', 'c', 'b', 'd', 'c', 'e', 'a', 'd', 'e', 'c', 'c', 'c', 'a', 'b', 'e', 'e', 'e', 'b', 'e', 'b', 'c', 'd', 'c', 'd', 'c', 'b', 'e', 'c', 'b', 'b', 'a', 'd', 'd', 'a', 'd', 'b', 'c', 'c', 'a', 'e', 'a', 'b', 'c', 'c', 'c', 'a', 'e', 'e', 'a', 'e', 'a', 'e', 'd', 'b', 'e', 'd', 'e', 'c', 'd', 'd', 'c', 'e', 'b', 'c', 'e', 'c', 'a', 'c', 'b', 'c', 'd', 'b', 'b', 'd', 'e', 'd', 'e', 'd', 'e', 'b', 'e', 'e', 'c', 'a', 'a', 'b', 'e', 'b', 'c', 'a', 'e', 'a', 'd', 'd', 'c', 'e', 'c', 'd', 'b', 'd', 'd', 'a', 'a', 'd', 'e', 'c', 'b', 'e', 'b', 'c', 'e', 'e', 'd', 'c', 'a', 'd', 'a', 'd', 'c', 'd', 'e', 'c', 'e', 'b', 'd', 'e', 'b', 'd', 'd', 'c', 'c', 'd', 'a', 'e', 'd', 'b', 'b', 'e', 'a', 'b', 'e', 'a', 'd', 'a', 'e', 'e', 'e', 'e', 'a', 'e', 'c', 'd', 'd', 'c', 'b', 'b', 'd', 'd', 'a', 'd', 'e', 'b', 'c', 'c', 'e', 'b', 'd', 'a', 'e', 'a', 'd', 'e', 'a', 'd', 'a', 'e', 'd', 'b', 'e', 'b', 'a', 'c', 'e', 'e', 'b', 'a')",3600
26,spec_4.dot,4.32,NAN,9,4,3253,52.8,NAN,120000
26,spec_1.dot,4.1,NAN,9,4,3261,53.4,NAN,120000
26,spec_3.dot,3.93,NAN,9,4,3261,52.1,NAN,120000
26,spec_2.dot,4.1,NAN,9,4,3254,50.7,NAN,120000
9,spec_5.dot,90.0,"('d', 'd', 'd', 'a', 'd', 'd', 'a', 'e', 'c', 'd', 'd', 'e')",33,23,19423,17.7,"('c', 'd', 'b', 'd', 'a', 'a', 'a', 'a', 'd', 'e', 'e', 'e', 'a', 'd', 'c', 'b', 'b')",17200
9,spec_4.dot,21.6,NAN,23,15,10634,6.53,"('e', 'a', 'c', 'b', 'b', 'c', 'e', 'd', 'e', 'd', 'e', 'e', 'b', 'e', 'b', 'c', 'b', 'c', 'e', 'c', 'c', 'e', 'd', 'c', 'a', 'e', 'a', 'b', 'b', 'd', 'e', 'e', 'b', 'b', 'a', 'e', 'd', 'a', 'a', 'c', 'e', 'b', 'c', 'a', 'e', 'e', 'b', 'a', 'c', 'e', 'd', 'd', 'a', 'd', 'a', 'd', 'b', 'd', 'a', 'c', 'd', 'b', 'd', 'a', 'c', 'd', 'c', 'b', 'e', 'd', 'c', 'b', 'b', 'd', 'd', 'c', 'b')",6200
9,spec_1.dot,84.1,"('a', 'e', 'e', 'b', 'b', 'e', 'd', 'c', 'd', 'e', 'c', 'c')",30,21,15869,3.09,"('e', 'b', 'd', 'e', 'e', 'a', 'e', 'c', 'c', 'c', 'a', 'd', 'b', 'd', 'b', 'b', 'c', 'b', 'c', 'b', 'c', 'b', 'd', 'b', 'a', 'd', 'd', 'a', 'e', 'a', 'b', 'a', 'd', 'd', 'a', 'e', 'c', 'd', 'b', 'c', 'a', 'e', 'c', 'b', 'd', 'c', 'd', 'e', 'a', 'c', 'a', 'b', 'c', 'e', 'a', 'a', 'e', 'd', 'a', 'a', 'e', 'b', 'e', 'd', 'c', 'e', 'e', 'c', 'b', 'a', 'd', 'a', 'e', 'e', 'a', 'e', 'd', 'b', 'b', 'a', 'c', 'a', 'e', 'c', 'b', 'b', 'a', 'c', 'b', 'c', 'b', 'd', 'b', 'd', 'd', 'd', 'a', 'e', 'd', 'c')",2400
9,spec_3.dot,20.5,NAN,23,15,10634,5.91,"('d', 'b', 'a', 'e', 'b', 'c', 'c', 'e', 'd', 'c', 'e', 'c', 'e', 'c', 'c', 'b', 'a', 'b', 'd', 'b', 'd', 'c', 'd', 'd', 'a', 'a')",4400
