name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
13,spec_5.dot,36.5,NAN,8,1,120717
13,spec_4.dot,36.3,NAN,8,1,120594
13,spec_1.dot,36.6,NAN,8,1,120598
13,spec_3.dot,36.6,NAN,8,1,120942
13,spec_2.dot,35.8,NAN,8,1,120597
22,spec_1.dot,5.12,"('b', 'c', 'e', 'e', 'b')",14,10,14527
22,spec_2.dot,6.62,"('c', 'b', 'a', 'c', 'e', 'd', 'b', 'd')",16,11,19390
7,spec_5.dot,57.0,"('b', 'c', 'a', 'd', 'a', 'a', 'e', 'b', 'c', 'a', 'a')",26,6,16720
7,spec_4.dot,8.0,"('b', 'c', 'b', 'd', 'e', 'b', 'e', 'e', 'c', 'a')",26,6,10752
7,spec_1.dot,21.3,"('b', 'c', 'd', 'd', 'a', 'e', 'b', 'c', 'c', 'e', 'a', 'a')",27,6,21724
7,spec_3.dot,11.8,"('a', 'c', 'c', 'd', 'a', 'd', 'd', 'b', 'b', 'a')",31,8,16238
7,spec_2.dot,9.64,"('b', 'c', 'a', 'd', 'a', 'e', 'b', 'd', 'a')",23,5,25074
28,spec_4.dot,12.7,"('b', 'c', 'd', 'd', 'b', 'b', 'd', 'd', 'c', 'b')",25,22,11097
28,spec_1.dot,22.7,"('a', 'b', 'c', 'd', 'b', 'd', 'e', 'e', 'a', 'a', 'e', 'c', 'b', 'c', 'b')",42,32,30908
28,spec_3.dot,11.4,"('a', 'b', 'e', 'c', 'c', 'c', 'd', 'c', 'b', 'd', 'b', 'd', 'e', 'b', 'd')",42,30,29613
28,spec_2.dot,2.35e+02,"('b', 'e', 'b', 'a', 'b', 'c', 'b', 'b', 'd', 'c', 'b', 'b', 'a', 'a')",50,44,57174
26,spec_4.dot,43.0,NAN,9,4,120757
26,spec_1.dot,41.8,NAN,9,4,120661
26,spec_3.dot,36.9,NAN,9,4,120679
26,spec_2.dot,36.7,NAN,9,4,120631
9,spec_5.dot,1.07e+02,"('c', 'a', 'c', 'a', 'a', 'd', 'e', 'e', 'e', 'a', 'a', 'd')",33,24,29456
9,spec_4.dot,26.3,"('a', 'a', 'b', 'c', 'd', 'e', 'e', 'c', 'd', 'a')",30,20,46594
9,spec_1.dot,15.0,"('a', 'a', 'b', 'c', 'd', 'e', 'e', 'c', 'd', 'a')",30,21,15472
9,spec_3.dot,41.3,"('a', 'e', 'e', 'b', 'b', 'e', 'b', 'a', 'a', 'a', 'c')",31,22,31022
9,spec_2.dot,3.69,"('a', 'a', 'b', 'c', 'd', 'e', 'e', 'c', 'd', 'a')",28,19,11446
11,spec_5.dot,9.82,"('a', 'e', 'c', 'b', 'a', 'a', 'd', 'd')",32,19,17400
11,spec_4.dot,7.18,"('a', 'e', 'c', 'b', 'a', 'a', 'd', 'd')",33,20,22803
11,spec_1.dot,12.7,"('c', 'b', 'a', 'a', 'd', 'a', 'b', 'a')",31,20,29255
11,spec_3.dot,14.2,"('a', 'e', 'c', 'b', 'a', 'a', 'd', 'd')",32,19,18288
11,spec_2.dot,2.52,"('c', 'b', 'a', 'a', 'd', 'a', 'b', 'a')",32,20,14110
3,spec_5.dot,13.3,"('b', 'd', 'c', 'b', 'a', 'b', 'a', 'b', 'b')",21,16,12741
3,spec_4.dot,3.37,"('c', 'c', 'b', 'a', 'e', 'b', 'c', 'c', 'b', 'c', 'e', 'd', 'b', 'e')",24,19,9841
3,spec_1.dot,10.5,"('a', 'c', 'd', 'c', 'a', 'e', 'a', 'a', 'a', 'a', 'd', 'd', 'c')",24,19,26967
3,spec_3.dot,8.67,"('c', 'e', 'b', 'e', 'b', 'e', 'a', 'b', 'e', 'c', 'b', 'a')",23,19,11838
3,spec_2.dot,1.01e+02,"('b', 'a', 'e', 'a', 'a', 'c', 'd', 'e', 'e')",20,15,34086
5,spec_5.dot,1.07,"('b', 'a', 'd', 'b', 'e', 'e')",10,1,2101
5,spec_4.dot,5.87,"('c', 'b', 'b', 'a', 'e')",32,2,20327
5,spec_1.dot,13.6,"('a', 'a', 'b', 'a', 'e')",32,2,18991
5,spec_3.dot,0.541,"('c', 'c', 'e', 'e')",7,1,722
5,spec_2.dot,0.35,"('a', 'b', 'b', 'e', 'e')",6,1,701
24,spec_5.dot,15.6,"('e', 'e', 'd', 'c', 'd', 'd', 'a', 'a', 'b', 'c', 'b', 'b', 'a')",34,22,24001
24,spec_4.dot,9.38,"('a', 'c', 'a', 'd', 'e', 'a', 'b', 'e', 'e', 'a', 'd', 'c', 'c', 'b')",38,24,27104
24,spec_1.dot,33.4,"('a', 'b', 'b', 'c', 'a', 'b', 'e', 'e', 'a', 'e', 'd', 'd')",53,33,80477
24,spec_3.dot,81.0,"('a', 'c', 'b', 'b', 'b', 'b', 'b', 'c', 'a', 'e', 'a', 'e', 'c', 'b', 'b', 'd', 'b', 'd')",55,35,86980
24,spec_2.dot,30.5,"('b', 'b', 'c', 'e', 'd', 'c', 'd', 'd', 'b', 'd', 'b', 'a', 'b')",62,41,85832
27,spec_5.dot,3.89,"('a', 'e', 'b', 'c', 'a', 'e', 'd', 'a', 'c', 'c')",24,12,14762
27,spec_4.dot,2.99,"('b', 'd', 'd', 'd', 'b')",19,9,10193
27,spec_1.dot,3.81,"('b', 'd', 'd', 'd', 'b')",20,10,12847
27,spec_3.dot,35.8,"('d', 'c', 'c', 'd', 'a', 'd', 'c', 'e', 'c', 'e', 'd', 'd', 'c')",37,17,30540
27,spec_2.dot,9.71,"('a', 'd', 'b', 'a', 'a', 'e', 'a', 'd', 'a', 'e', 'e')",32,18,29337
21,spec_5.dot,51.7,"('c', 'c', 'e', 'c', 'b', 'd', 'a', 'c', 'c', 'd', 'a')",37,12,102592
21,spec_4.dot,70.2,"('b', 'a', 'e', 'b', 'd', 'a', 'c', 'd', 'c', 'b', 'b', 'b')",46,18,91279
21,spec_1.dot,37.0,"('b', 'a', 'b', 'b', 'b', 'e', 'b', 'b', 'b', 'b', 'e', 'b', 'b', 'e')",46,24,48072
21,spec_3.dot,39.9,"('d', 'd', 'b', 'a', 'b', 'd', 'a', 'e', 'a', 'a', 'e', 'b', 'b', 'b')",44,16,45097
21,spec_2.dot,11.8,"('e', 'd', 'e', 'b', 'b', 'a', 'd', 'd', 'd', 'd')",30,13,25947
19,spec_5.dot,0.94,"('a', 'e', 'b', 'b', 'd', 'b', 'e')",26,11,7628
19,spec_4.dot,0.939,"('a', 'e', 'b', 'b', 'd', 'b', 'e')",26,11,7628
19,spec_1.dot,0.948,"('a', 'e', 'b', 'b', 'd', 'b', 'e')",26,11,7628
19,spec_3.dot,0.961,"('a', 'e', 'b', 'b', 'd', 'b', 'e')",26,11,7628
19,spec_2.dot,0.961,"('a', 'e', 'b', 'b', 'd', 'b', 'e')",26,11,7628
29,spec_5.dot,41.9,"('a', 'c', 'a', 'a', 'c', 'c', 'e', 'b', 'd', 'a')",26,7,17680
29,spec_4.dot,97.9,"('a', 'c', 'a', 'a', 'c', 'c', 'b', 'e', 'e', 'b', 'a', 'c', 'c', 'e', 'c', 'c')",31,9,23830
29,spec_1.dot,13.1,"('c', 'c', 'e', 'e', 'c', 'a', 'b', 'b')",25,9,27595
29,spec_3.dot,72.1,"('d', 'b', 'c', 'c', 'd', 'c', 'd', 'd', 'a', 'e', 'a')",51,13,51580
29,spec_2.dot,12.7,"('c', 'e', 'e', 'e', 'c', 'a', 'c', 'd', 'c', 'e', 'b', 'b', 'd', 'a', 'a', 'c')",41,8,31268
6,spec_5.dot,8.11,"('a', 'e', 'a', 'b', 'b', 'b', 'b', 'a', 'a', 'b')",23,1,21848
6,spec_4.dot,10.6,"('b', 'a', 'b', 'e', 'e', 'a', 'c', 'a')",16,1,16567
6,spec_1.dot,34.3,"('c', 'e', 'b', 'b', 'd', 'a', 'b', 'd', 'd', 'b', 'd', 'b', 'b', 'a')",25,2,23315
6,spec_3.dot,4.14,"('b', 'a', 'b', 'e', 'e', 'e', 'a', 'c', 'a')",20,1,11191
6,spec_2.dot,7.65,"('b', 'd', 'd', 'c', 'b', 'e', 'a', 'c', 'b')",28,1,17068
16,spec_4.dot,42.5,"('c', 'b', 'd', 'a', 'e', 'c', 'b', 'e')",27,15,33819
16,spec_1.dot,31.5,"('c', 'e', 'a', 'b', 'b', 'e', 'b', 'c', 'd', 'e', 'b', 'c', 'a', 'a', 'a', 'e', 'c')",38,24,64766
16,spec_3.dot,76.3,"('a', 'c', 'c', 'a', 'a', 'e', 'd', 'a', 'e', 'b', 'e', 'b', 'a', 'b')",42,24,99319
16,spec_2.dot,19.4,"('e', 'a', 'c', 'd', 'b', 'a', 'e', 'b', 'a', 'c', 'b')",29,16,41218
20,spec_5.dot,1.67,"('d', 'd', 'b', 'a', 'd', 'b')",23,11,7919
20,spec_4.dot,9.27,"('e', 'b', 'b', 'a', 'e', 'c', 'c', 'c', 'c', 'e', 'c', 'e', 'e', 'b')",27,11,24120
20,spec_1.dot,56.6,"('a', 'a', 'd', 'b', 'a', 'e', 'c', 'c', 'a', 'a', 'c', 'c', 'e', 'a', 'a', 'e')",37,12,63623
20,spec_3.dot,11.6,"('e', 'b', 'b', 'c', 'd', 'b', 'e', 'b', 'a', 'e', 'c', 'c')",38,14,22758
20,spec_2.dot,31.5,"('b', 'e', 'd', 'b', 'd', 'c', 'c', 'a', 'a', 'e')",24,9,19499
15,spec_5.dot,53.8,"('d', 'b', 'b', 'a', 'b', 'e', 'c', 'e', 'a', 'd', 'a')",23,14,122759
15,spec_4.dot,27.4,"('b', 'c', 'c', 'b', 'a', 'd', 'e', 'e', 'c', 'e', 'd', 'e')",28,15,80005
15,spec_1.dot,24.2,"('b', 'e', 'e', 'b', 'b', 'b', 'a', 'c', 'a', 'e', 'e', 'e', 'b', 'b', 'a', 'b')",27,17,67892
15,spec_3.dot,13.5,"('d', 'b', 'b', 'a', 'b', 'e', 'c', 'e', 'a', 'd', 'a')",23,14,32173
15,spec_2.dot,14.1,"('d', 'b', 'b', 'a', 'b', 'c', 'b', 'e', 'b')",21,14,38224
