name,spec_num,mistake_time_rand,mistake_rand,rand_num_queries
13,spec_5.dot,35.0,NAN,120000
13,spec_4.dot,34.5,NAN,120000
13,spec_1.dot,35.1,NAN,120000
13,spec_3.dot,34.9,NAN,120000
13,spec_2.dot,34.7,NAN,120000
22,spec_1.dot,10.0,eeecbaceb,27609
22,spec_2.dot,4.28,eeecbbab,12008
7,spec_5.dot,3.6,cebcdcaaadecbcebedddceadecdcbaadbcbddebacedebcddbbcbccaccbecaaabaaacbedacdaddadddebdeddade,7890
7,spec_4.dot,1.42,becaddacdcaabcedcaedcaebddeccccadbbdedddadabeabebbacbdcbddcdbdbaabdcdeeecea,2875
7,spec_1.dot,2.21,abbcddcbbedbcebeebcdaeccdbedcaddabceaaeacbccecbdbaebecbcdedadbaecdcebaaacaadadbaadeabaeecaaccddacecdccddabedadddadeadbabdcadedaddbedceddcaeccabbecbcdacdbeeadeecaabecabaacbcdddbcbeddceeccdbbdbdbadedabcdbdedacaecbcaadacacbdedbcecdaaaedecccbdcdacaeddcecadaecccaceeddcededabb,671
7,spec_3.dot,6.12,bddcaebceccbccebcabdccecdbdabcddbbcaedeaccbbdacadcbdedddcaadcbbaccbadeccbbdbdadbaebeccabdcbdcbea,13896
7,spec_2.dot,1.13,abebbaebadebcaace,2617
28,spec_4.dot,3.05,cdeacabcdcaeaddbaabcdaddeacadeccccabdbecedcebdadaebbdaacbdcaadaaedaddbebbedccccadcdbbaacacbadbdceeecdcabbcdbaaeeeddbbebabaaeddecebbdecdedcebaedadcedeeddedcdcdadaadcdbacebeceeeeceadb,3181
28,spec_1.dot,1.86,aacaecdccedaadaaceabdebebabacedcebdaccacaceceecbebeaedeeddbaaceadcbedb,3270
28,spec_3.dot,1.32,daaedeceebccbadbacabbaaeeeabbbabcddabddbbbcbdaaadccbbbeabdadeeebabbeeaaabeacbeddacddebabcebeceeeedbdacddbab,1707
28,spec_2.dot,1.4,cdecacbbabaacebdabdaedbeddd,2627
26,spec_4.dot,35.3,NAN,120000
26,spec_1.dot,35.4,NAN,120000
26,spec_3.dot,35.1,NAN,120000
26,spec_2.dot,35.8,NAN,120000
9,spec_5.dot,5.14,bbadaeedcedacbaaaebecededabdeddcabceccebbdddcacebabaccecdbabcadebbdacceccbeecdbbea,9282
9,spec_4.dot,3.31,bdcbaeeecdadaededededceeadbaeeaceadebedacabccdacdccdcdcbbedeeeaadebabbeedebbcdaeabcbbeabcbeaaddcaaebadacedcadcadbcabedc,5319
9,spec_1.dot,9.64,ddacdcbedeabdeeabeaeaadbdcbdaaddcdadebcccdadacabcdacdecdabbbcdaebdddbdebacebacadeddacdbadabeddeebaabbabbadebaeeeabaaebebccbccacdcadceabcdbcbbecdaebacbbecaebaaadeabaacacdbdebedceccbebdbbddadadecddbedcaa,16001
9,spec_3.dot,1.12,eccdaededdbeabcecaccbbebeceadcbddeeeaacdcddacebedcbeeaaeebebcecaeccdbceddcaabeccbcdcdbacebbaceccaacdcacceeacbaecdadaeac,1519
9,spec_2.dot,4.62,ebbcbeebbaceddedeecdbdbdedaac,8829
11,spec_5.dot,2.71,eccdcdeebeccbecbaadd,4820
11,spec_4.dot,0.462,ddacceeddcbdabeabceccacbcebcbddeddbcdaddabbcbaadadbaeaa,655
11,spec_1.dot,1.92,cebcbdedaeceadadbeadaaeeeceeedaecaebadcacbedabbebcecbeaeebaecbebdbeebabaadedebcddcbdacbcdcbeabbaaaeedbacbccbdecacbaceeaebcecececaeededaaddbadcccaaeebabeccaadacecceb,1964
11,spec_3.dot,3.95,abdabddcdcadbbebcebabceadabcccbadaeceaedcbeeaddcbbebacddeabdccbbbabaaddbbdd,6475
11,spec_2.dot,8.37,bacaccecaebeeceeceaebdacccadedaeacebcecabdabaddceeaaaddedbaceedbcbbabbbdedbecbdebbecaedcadaebceceedcdbcadeeaeadddedadeeeeaceaabbbabebbeaaedddcbedbdabeacceceaeadeecabdebdadbdeebcabebacbbdaeaecacccaabcaaecddedadadbbeadaababddeddecdbaacbadbaeebebcdcaecbcbdbeecedccaceeddeaaabecdbdcbcbaeacaeabacbdcbbcebcbacedaedacabcecedabbceebbcabbebdbeaecababcbddcbdccbadcceddeabcaabcaaadababaa,7176
3,spec_5.dot,7.39,ceaedcbabacdddbccdebabaeebccdebedaedaddcacceeeebddabaadebbbcbdddeaeccceccdaaaddedcbceebedeaaacabbdbacbddaabddbecbccbcceeccddbbddadabaaceeaebdceaaeddccbcddbacc,20158
3,spec_4.dot,4.98,caeccbabce,14210
3,spec_1.dot,5.33,bdcbabadabedc,14413
3,spec_3.dot,3.47,edcbababbbcedbace,9417
3,spec_2.dot,5.81,ceecabedddecdddacccacaeecaebacbcdcdaebdeceaeaecccdadecdabdeccadebdccadbebaacdebddded,15484
5,spec_5.dot,0.211,bccddebaabbadbdecbdbcaddacebaddcebbaaecbadbee,245
5,spec_4.dot,0.164,aedeccdccceedcabaccbddcccbdbbebae,233
5,spec_1.dot,0.714,deaeebaacdcecaedbceaacbddabdcaaaeccbeaaedadcbdaeadcdceeeaadcbcedcdbdaaaedacbbdbeacbaabaceaabecadccccacbeadbedbcacdeaaacdeaccdcbddcee,332
5,spec_3.dot,0.365,ecdcdedbcabbeedddccbeedabdebbacacdcaeadcbacddabbcebeeeaebbcbcbcbbcbeabcebbeddee,279
5,spec_2.dot,0.387,debeddedeaadeddcbcabadddcdeeeadcbdeacdeadadccbaddbeebeebdbcaeaeecceaecadaacacacccacdee,286
24,spec_5.dot,3.15,bdaebcbbdceeeabaebeeceeaaeadabebbbcabceacebaccabcacdcbcdbbec,5660
24,spec_4.dot,14.5,caecbcedbacacdcbaceadcbbeacaacdeaaedcbeecaddaadbcbccdbcdd,26857
24,spec_1.dot,20.7,ebbebdeacaaeabcbbbcceeecedaaedbddcabddebecadeeeededcbadbeceacbeccaeedccebacebbaaaabaabdabdedaeabeeabaeecdabcbaadbcacbcbdeeeaaedbaaabddebcaddcddbadddcddcbebeedeabcdaabecbbdabddceaedebcdecedbdbacbdbdeecdcddadbdbccbcdbacbbcedeecdabbcebecdeeaebedcbddbddeaecaaaaabdedbebebecbcecdaabbbacaebbbedeaecbdecabaddcbcaaaeacaaaeabcadebcadeecceebdbebbebbbeecdcdddecdcdaddecdedadbcadceacabdeebebbcedbcebabeaeabbbeccebabeeedaccbaceaadabadcbeaeaadddcdcceddcdcabcabbddbdbaddeeaecebaadcdcbcdeb,27873
24,spec_3.dot,10.2,cbdecbbcdcadbccecbabecebbdacdbabdcdbcbbbdaaedebcabecebbbadcdacdacedadbecbcceedbaccbeddecdcaacabeeadabcacacbdcadecbdaddbabcecceaecdebeedaeacbdcadceaacbbbdddbabeeeccaaeecdddbddbceaad,17180
24,spec_2.dot,23.8,abaeeaedebcededdcceceedcbcacedabcebccdbcdaecdaccaaebeeaaecdcbccbbdaecddccbcdadaaeaccedaacddbbdadccacebbcbedaaddacabbaaaaeecceddacdeaededaccbadbebbecddcbbcbbaaceecaeaaedccacbcdbaecdadabceecddbeaacdadadcbeaadbeedeaecdcadedeeddcbaeebccbeadcababcedaecaccdecbbdcdbaddabacbadcccccaddabbdbcbddcdc,40489
27,spec_5.dot,11.0,caaedecadaacdcbeabddbcdbbacdecdbdaebbebcdcabbadecaabbdbbedcbeeebbaadaddccbeabaaedcadaebbeedbcabeeabecbbbdabbbaccccaabaeeddecdbdebcbcbaaddedeaeeacbaacaeadebabdbacbcbbacdcacbdabcadabdbddecaacbdaceebcebedaabadabcaaacccdcddadbadccdacedabbdaccddeacdcceedccbcdceedcdcedcaecbdeddeeadbcaddecadeedccbeecabaebcddddeedeadbdb,26713
27,spec_4.dot,3.78,baedceebddcecebdabddbadebcabdcaddedbcdbeaedbcbcdeccebecdddebaaddadcaaaacbcabbaabceadbcadebeeceeedecbbbeddebbbeaecbebabbabbceeaace,9729
27,spec_1.dot,0.293,ebdcaeaadbdcbddeec,818
27,spec_3.dot,0.983,eecbcaeebedbaebaabeacbcebdabeeeeeddcebddabebacab,2648
