name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
13,spec_5.dot,8.58,NAN,8,1,27228,37.7,NAN,120000
13,spec_4.dot,8.71,NAN,8,1,27386,37.8,NAN,120000
13,spec_1.dot,9.19,NAN,8,1,27610,38.0,NAN,120000
13,spec_3.dot,8.88,NAN,8,1,27192,37.8,NAN,120000
13,spec_2.dot,8.47,NAN,8,1,27202,14.9,"('b', 'e', 'c', 'b', 'c', 'c', 'e', 'd', 'c', 'b', 'b', 'd', 'b', 'b', 'c', 'd', 'b', 'd', 'a', 'd', 'd', 'd', 'd', 'd', 'c', 'e', 'b')",47600
22,spec_1.dot,11.9,NAN,11,8,31912,4.71,"('c', 'b', 'a', 'c', 'e', 'b', 'b', 'd', 'b', 'e', 'd', 'd', 'c', 'a', 'a')",12400
22,spec_2.dot,4.98,"('c', 'b', 'a', 'a', 'a', 'c', 'a', 'd')",19,14,14267,1.46,"('e', 'c', 'c', 'a', 'd', 'e', 'b', 'b', 'e', 'e', 'b', 'c', 'b', 'd', 'e')",4000
7,spec_5.dot,5.69,"('b', 'c', 'c', 'c', 'a', 'a', 'c', 'e')",27,5,13963,4.05,"('c', 'e', 'e', 'e', 'e', 'c', 'c', 'c', 'c', 'd', 'b', 'e', 'c', 'd', 'a', 'a', 'e', 'b', 'd', 'b', 'b', 'a', 'b', 'a', 'c', 'e', 'a', 'b', 'e', 'a', 'e', 'b', 'b', 'c', 'a', 'a', 'e', 'e', 'b', 'd', 'b', 'a', 'b', 'a', 'e', 'd', 'b', 'c', 'c', 'a', 'd', 'b', 'e', 'e', 'c', 'd', 'c', 'a', 'b', 'b', 'd', 'c', 'e', 'b', 'b', 'c', 'a', 'c', 'c', 'd', 'd', 'e', 'd', 'b', 'a', 'c', 'a', 'b', 'd', 'c')",9200
7,spec_4.dot,7.63,"('b', 'c', 'a', 'd', 'a', 'e', 'b', 'd', 'a')",22,5,9295,0.513,"('b', 'a', 'b', 'a', 'a', 'b', 'b', 'd', 'b', 'a', 'a', 'd', 'e', 'c', 'a', 'c', 'd', 'e', 'a', 'c', 'b', 'b', 'd', 'd', 'a', 'd', 'd', 'a', 'a', 'd', 'd', 'b', 'd', 'c', 'd', 'b', 'a', 'a', 'b', 'b', 'a', 'e', 'c', 'd', 'e', 'a', 'd', 'a', 'a', 'd', 'e', 'a', 'a', 'b', 'b', 'e', 'b', 'c', 'c', 'd', 'd', 'b', 'a', 'b', 'c', 'c', 'e', 'e', 'b', 'd', 'b', 'c', 'b', 'e', 'b', 'b', 'b', 'e', 'd', 'e', 'a', 'd', 'b', 'e', 'b', 'b', 'c', 'c', 'b', 'c', 'a', 'e', 'd', 'b', 'a', 'b', 'd', 'a', 'd', 'e', 'c', 'e', 'b', 'c', 'd', 'd', 'd', 'c', 'c', 'c', 'c', 'b', 'd', 'c', 'e', 'a', 'd', 'b', 'a', 'd', 'b', 'd', 'd', 'c', 'e', 'd', 'a', 'b', 'c', 'a', 'c', 'e', 'a', 'c', 'b', 'e', 'c', 'a', 'e', 'b', 'd', 'b', 'e', 'd', 'a', 'b', 'e', 'e', 'b', 'd', 'c', 'e', 'a', 'a', 'e', 'e', 'e', 'd', 'c', 'a', 'c', 'd', 'b', 'd', 'e', 'c', 'd', 'c', 'd', 'c', 'b', 'a', 'b', 'a', 'e', 'a', 'a', 'c', 'c', 'e', 'b', 'a', 'e', 'a', 'a', 'b', 'd', 'c', 'e', 'e', 'e', 'a', 'e', 'b', 'e', 'd', 'b', 'c', 'd', 'a', 'c', 'b', 'a', 'a', 'd', 'a', 'c', 'a', 'a', 'd', 'c', 'b', 'a', 'b', 'c', 'b', 'e', 'a', 'c', 'd', 'a', 'd', 'b', 'e', 'b', 'e', 'd', 'a', 'a', 'c', 'c', 'c', 'c', 'b', 'd', 'a', 'd', 'd', 'b', 'd', 'a', 'c', 'a', 'b', 'e', 'd', 'e', 'e', 'a', 'c', 'e', 'a', 'e', 'c', 'a', 'a', 'd', 'd', 'c', 'd', 'c', 'd', 'd', 'c', 'a', 'c', 'b', 'e', 'a', 'c', 'c', 'd', 'a', 'e', 'd', 'b', 'a', 'd', 'e', 'a', 'a', 'b', 'e', 'd', 'c', 'b', 'e', 'b', 'd', 'c', 'd', 'e', 'c', 'd', 'b', 'a', 'b', 'b', 'e', 'c', 'b', 'b', 'b', 'b', 'd', 'b', 'c', 'e', 'b', 'b', 'a', 'b', 'e', 'd', 'a', 'a', 'c', 'c', 'c', 'd', 'b', 'b', 'd', 'e', 'd', 'e', 'd', 'a', 'c', 'c', 'e', 'b', 'b', 'b', 'c', 'e', 'c', 'a', 'd', 'b', 'd', 'a', 'b', 'd', 'e', 'd', 'c', 'a', 'e', 'b', 'b', 'c', 'd', 'e', 'a', 'b', 'a', 'c', 'a', 'a', 'c', 'b', 'b', 'e', 'c', 'c', 'a', 'd', 'a', 'e', 'b', 'a', 'e', 'd', 'b', 'c', 'b', 'b', 'b', 'b', 'b', 'a', 'e', 'd', 'e', 'd', 'c', 'c', 'a', 'd', 'd', 'b', 'e', 'c')",1200
7,spec_1.dot,10.8,"('b', 'c', 'a', 'b', 'd', 'e', 'b', 'e', 'e', 'a', 'b')",26,7,22644,0.0724,"('e', 'a', 'b', 'a', 'b', 'e', 'd', 'd', 'd', 'd', 'c', 'c', 'c', 'd', 'c', 'd', 'e', 'a', 'e', 'b', 'c', 'd', 'd', 'b', 'b', 'a', 'b', 'd', 'e', 'e', 'c', 'b', 'b', 'a', 'b', 'd', 'c', 'b', 'c', 'e', 'a', 'e', 'd', 'd', 'd', 'e', 'c', 'c', 'b', 'a', 'a', 'd', 'c', 'a', 'd', 'd', 'b', 'd', 'd', 'c', 'c', 'c', 'c', 'd', 'd', 'c', 'a', 'e', 'b', 'e', 'c', 'b', 'a', 'b', 'c', 'a', 'a', 'a', 'c', 'e', 'c', 'b', 'd', 'd', 'a', 'e', 'd', 'd', 'd', 'd', 'b', 'd', 'c', 'e', 'd', 'a', 'a', 'c', 'c', 'a', 'e', 'c', 'd', 'c', 'c', 'c', 'e', 'e', 'c', 'b', 'b', 'd', 'a', 'c', 'e', 'e', 'a', 'e', 'd', 'c', 'b', 'e', 'a', 'd', 'e', 'b', 'd', 'c', 'a', 'd', 'a', 'a', 'e', 'b', 'c', 'a', 'e', 'a', 'c', 'a', 'd', 'a', 'd', 'b', 'a')",200
7,spec_3.dot,34.2,"('c', 'd', 'e', 'd', 'd', 'c', 'a')",45,16,45942,0.796,"('c', 'e', 'd', 'b', 'd', 'b', 'a', 'd', 'e', 'c', 'c', 'e', 'a', 'c', 'c', 'a', 'a', 'a', 'b', 'e', 'b', 'a', 'b', 'e', 'c', 'e', 'd', 'c', 'd', 'd', 'd', 'e', 'e', 'a', 'b')",1800
7,spec_2.dot,8.48,"('b', 'c', 'a', 'd', 'a', 'e', 'b', 'd', 'a')",28,6,14904,0.621,"('b', 'c', 'd', 'd', 'b', 'd', 'b', 'c', 'c', 'a', 'd', 'e', 'c', 'd', 'a', 'c', 'a', 'b', 'b', 'd', 'e', 'd', 'e', 'c', 'e', 'e', 'e', 'a', 'b', 'c', 'c', 'b', 'c', 'd', 'd', 'b', 'd', 'a', 'e', 'e', 'a', 'a', 'e', 'b', 'c', 'a', 'd', 'c', 'd', 'b', 'b', 'c', 'd', 'b', 'b', 'a', 'e', 'e', 'e', 'c', 'c', 'a', 'e', 'e', 'c', 'd', 'a', 'b', 'c', 'b', 'b', 'c', 'b', 'c', 'e', 'b', 'b', 'e', 'd', 'b', 'e', 'c', 'b', 'd', 'c', 'e', 'd', 'b', 'a', 'c', 'b', 'e', 'd', 'e', 'b', 'a', 'c', 'c', 'b', 'e', 'd', 'c', 'e', 'd', 'd', 'c', 'e', 'd', 'd', 'b', 'a', 'e', 'd', 'a', 'd', 'd', 'a', 'e', 'b', 'e', 'b', 'c', 'a', 'e')",1400
28,spec_4.dot,8.78,"('a', 'b', 'e', 'c', 'c', 'c', 'd', 'c', 'a', 'a', 'e', 'a')",31,25,15162,1.3,"('a', 'd', 'e', 'a', 'd', 'd', 'b', 'b', 'b', 'e', 'b', 'a', 'a', 'e', 'd', 'b', 'e', 'd', 'a', 'b', 'e', 'e', 'b', 'b', 'b', 'a', 'd', 'a', 'a', 'd', 'b', 'd', 'c', 'e', 'd', 'd', 'e', 'b', 'c', 'e', 'e', 'b', 'e', 'c', 'd', 'c', 'a', 'e', 'a', 'a', 'c', 'c', 'b', 'e', 'b', 'b', 'b', 'a', 'd')",2400
