name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
13,spec_5.dot,11.8,NAN,11,1,32169
13,spec_4.dot,36.8,"('a', 'b', 'a', 'e', 'e', 'b', 'a', 'd', 'a', 'a', 'd')",25,1,30857
13,spec_1.dot,37.6,"('d', 'd', 'a', 'a', 'e', 'a', 'e', 'c')",45,1,58176
13,spec_3.dot,20.1,NAN,11,1,50956
13,spec_2.dot,18.0,"('d', 'd', 'a', 'a', 'e', 'a', 'e', 'c')",44,2,52030
22,spec_1.dot,8.88,NAN,9,7,28631
22,spec_2.dot,9.35,NAN,9,7,28631
12,spec_5.dot,15.8,"('a', 'c', 'd', 'c', 'd', 'd', 'e', 'd', 'b', 'b', 'b', 'b', 'b', 'c', 'e', 'c', 'c', 'a', 'b')",32,11,45315
12,spec_4.dot,14.6,NAN,15,5,38399
12,spec_1.dot,22.4,"('a', 'a', 'e', 'b', 'e', 'e', 'c', 'a', 'e', 'a', 'b', 'c')",23,7,31399
12,spec_3.dot,5.38,"('c', 'b', 'd', 'b', 'b', 'a', 'a', 'b', 'b', 'a')",21,5,8669
12,spec_2.dot,15.0,NAN,15,5,38360
30,spec_5.dot,10.2,"('b', 'a', 'e', 'd', 'e', 'b', 'e', 'd', 'a', 'd')",36,10,21956
30,spec_4.dot,13.2,"('d', 'a', 'a', 'c', 'e', 'a', 'c', 'd')",28,6,24025
30,spec_1.dot,11.4,"('d', 'b', 'e', 'd', 'b', 'e', 'a', 'c', 'b', 'b')",32,7,23503
30,spec_3.dot,4.0,"('d', 'a', 'b', 'd', 'c', 'b', 'e', 'e')",34,7,18310
30,spec_2.dot,12.6,"('b', 'd', 'd', 'a', 'd', 'b', 'e', 'd', 'c')",48,6,40725
26,spec_5.dot,4.65,"('a', 'c', 'd', 'e', 'b', 'b', 'b', 'd', 'b', 'e')",29,5,13162
26,spec_4.dot,29.9,"('b', 'a', 'd', 'b', 'c', 'b', 'b', 'd', 'c', 'a', 'c', 'a', 'b', 'b')",37,9,27182
26,spec_1.dot,4.75,"('a', 'a', 'a', 'e', 'c', 'c', 'c', 'b', 'c', 'e', 'b')",28,5,14167
26,spec_3.dot,19.1,"('a', 'c', 'd', 'e', 'b', 'b', 'b', 'd', 'b', 'e')",27,5,27036
26,spec_2.dot,71.0,"('d', 'b', 'e', 'a', 'a', 'e', 'c', 'c', 'e', 'e', 'b', 'a', 'b', 'b')",40,7,44725
9,spec_5.dot,4.6,"('b', 'b', 'd', 'e', 'd', 'd', 'c', 'd', 'a', 'd', 'c', 'b')",22,12,11516
9,spec_4.dot,17.4,"('e', 'b', 'a', 'c', 'e', 'e', 'a', 'c', 'c', 'a', 'a')",21,13,11963
9,spec_1.dot,1.4,"('a', 'e', 'e', 'c', 'd', 'a', 'b', 'b', 'b')",21,12,6494
9,spec_3.dot,13.8,NAN,14,8,36613
9,spec_2.dot,36.1,"('a', 'c', 'd', 'd', 'c', 'd', 'a', 'b', 'c', 'e', 'd', 'a', 'c')",23,15,41690
2,spec_5.dot,7.69,"('a', 'a', 'b', 'a', 'a', 'd', 'e', 'd', 'c', 'c')",25,1,22528
2,spec_4.dot,40.3,"('a', 'c', 'c', 'b', 'a', 'e', 'e', 'b', 'c', 'a', 'c', 'c')",40,1,49696
2,spec_1.dot,13.5,"('c', 'b', 'c', 'a', 'b', 'a', 'd', 'a', 'c', 'd', 'd', 'b', 'e')",38,2,32999
2,spec_3.dot,52.4,"('d', 'c', 'a', 'c', 'b', 'a', 'e', 'e', 'b', 'e')",50,7,60006
2,spec_2.dot,87.7,"('a', 'e', 'c', 'a', 'a', 'c', 'a', 'e', 'd', 'e', 'a')",31,1,37187
11,spec_5.dot,21.3,"('d', 'e', 'a', 'd', 'b', 'c', 'a', 'e', 'b', 'c')",26,2,31646
11,spec_4.dot,34.4,"('e', 'a', 'b', 'b', 'd', 'e', 'a', 'd', 'a', 'c', 'c', 'd', 'c')",48,4,46926
11,spec_1.dot,8.23,"('b', 'd', 'c', 'a', 'c', 'e', 'c', 'c', 'a', 'b', 'b', 'b', 'd', 'b')",37,4,27111
11,spec_3.dot,6.98,"('a', 'c', 'c', 'd', 'd', 'a', 'a', 'c', 'a', 'd', 'a', 'a', 'b', 'e')",27,3,14020
11,spec_2.dot,3.13,"('e', 'a', 'e', 'e', 'd', 'b')",17,1,8387
3,spec_5.dot,9.15,NAN,9,3,28716
3,spec_4.dot,9.33,NAN,9,3,28706
3,spec_1.dot,9.19,NAN,9,3,28719
3,spec_3.dot,10.0,NAN,9,3,28843
3,spec_2.dot,9.19,NAN,9,3,28706
5,spec_5.dot,0.592,"('c', 'e', 'a', 'b', 'e')",11,1,2813
5,spec_4.dot,0.706,"('c', 'e', 'a', 'b', 'e')",13,1,3159
5,spec_1.dot,11.0,"('c', 'e', 'a', 'b', 'e')",39,1,30846
5,spec_3.dot,12.5,"('c', 'e', 'a', 'b', 'e')",46,2,38312
5,spec_2.dot,1.11,"('d', 'e', 'c', 'b', 'e')",18,2,6138
14,spec_5.dot,2.07,"('a', 'b', 'b', 'c', 'c', 'e', 'e', 'a', 'b', 'a')",19,3,8145
14,spec_4.dot,5.8,"('c', 'a', 'b', 'e', 'd', 'b', 'd', 'e', 'e')",34,3,21998
14,spec_1.dot,39.7,"('c', 'a', 'b', 'e', 'd', 'b', 'a', 'a', 'd', 'b', 'a', 'b')",47,5,78627
14,spec_3.dot,26.0,"('c', 'e', 'c', 'a', 'b', 'e', 'd', 'b', 'e', 'b', 'b')",45,4,55363
14,spec_2.dot,7.26,"('c', 'a', 'a', 'd', 'd', 'e', 'd', 'e', 'b', 'b', 'a', 'a')",39,6,27065
21,spec_5.dot,4.38,"('b', 'd', 'c', 'a', 'd', 'd', 'a', 'a')",21,12,11017
21,spec_4.dot,1.76,"('c', 'b', 'a', 'a', 'a', 'a', 'c', 'b', 'd', 'b', 'a')",23,10,8101
21,spec_1.dot,79.7,"('a', 'c', 'e', 'c', 'b', 'c', 'a', 'd', 'd', 'c', 'b', 'd')",53,31,60816
21,spec_3.dot,6.99,"('b', 'c', 'd', 'd', 'd', 'e', 'e', 'b', 'e', 'c', 'a')",27,15,15012
21,spec_2.dot,4.33,"('a', 'b', 'b', 'a', 'c', 'b', 'c', 'a', 'd', 'b', 'e')",25,15,11918
19,spec_5.dot,4.79,"('a', 'e', 'a', 'a', 'b', 'a', 'e', 'd', 'c', 'e', 'c')",28,18,12534
19,spec_4.dot,1.01e+02,"('a', 'e', 'a', 'a', 'b', 'a', 'e', 'c', 'a', 'd', 'e', 'b')",52,27,51920
19,spec_1.dot,8.5,"('a', 'a', 'b', 'e', 'b', 'b', 'e', 'd', 'e', 'e', 'a', 'a')",30,17,17312
19,spec_3.dot,22.7,"('e', 'd', 'd', 'b', 'e', 'd', 'e', 'c', 'b', 'a', 'a')",34,23,38661
19,spec_2.dot,12.5,"('c', 'b', 'a', 'e', 'a', 'e', 'c', 'e', 'c', 'b', 'a', 'a')",35,17,20950
