name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
13,spec_5.dot,12.3,"('c', 'd', 'b', 'd', 'd', 'a', 'd', 'e', 'c', 'b', 'a', 'c', 'd', 'c', 'e', 'd', 'd', 'c', 'a', 'a', 'b', 'a', 'd', 'b', 'e', 'd', 'b', 'c', 'b', 'a', 'c', 'd', 'a', 'c', 'b', 'c', 'c', 'e', 'b', 'a', 'b', 'e', 'a', 'd', 'e', 'c')",11,1,32785
13,spec_4.dot,21.8,"('d', 'a', 'b', 'd', 'a', 'e', 'b', 'a', 'a', 'd', 'a', 'b', 'b', 'e', 'd', 'b', 'e', 'a', 'b', 'e', 'd', 'd', 'c', 'd', 'c', 'b', 'a', 'a', 'b', 'c', 'c', 'a', 'b', 'd', 'd', 'a', 'c', 'b', 'c', 'd', 'b', 'b', 'a', 'b', 'a', 'b', 'b', 'c', 'e', 'c', 'd', 'b', 'b', 'd', 'd', 'd', 'b', 'a', 'd', 'c', 'c', 'b', 'b', 'c', 'e', 'c', 'd', 'a', 'c', 'c', 'a', 'c', 'b', 'd', 'b', 'b', 'e', 'e', 'b', 'd', 'c', 'a', 'd', 'a', 'a', 'a', 'c', 'b', 'a', 'd', 'c', 'a', 'd', 'a', 'a', 'b', 'e', 'e', 'd', 'a', 'a', 'c', 'c', 'a', 'e', 'd', 'd', 'd', 'd', 'd', 'a', 'c', 'b', 'c', 'b', 'a', 'd', 'b', 'a', 'e', 'e', 'b', 'b', 'a', 'b', 'a', 'c')",11,1,58198
name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
13,spec_5.dot,18.1,"('b', 'e', 'd', 'd', 'a', 'e', 'e', 'b', 'e', 'c', 'e', 'b', 'e', 'b', 'a', 'e', 'e', 'd', 'd', 'd', 'b', 'a', 'd', 'e', 'b', 'a', 'a', 'd', 'c', 'd', 'b', 'c', 'a', 'c', 'a', 'd', 'd', 'e', 'a', 'e', 'c', 'd', 'e', 'b', 'b', 'b', 'b', 'd', 'b', 'b', 'e', 'a', 'd', 'd', 'a', 'c', 'd', 'd', 'd', 'd', 'd', 'e', 'e', 'a', 'b', 'a', 'a', 'b', 'c', 'c', 'a', 'c', 'a', 'd', 'd', 'd', 'e', 'c', 'b', 'b', 'a', 'e', 'b', 'e', 'd', 'b', 'b', 'b', 'e', 'a', 'e', 'b', 'c', 'c', 'c', 'b', 'b', 'c', 'e', 'b', 'c', 'd', 'a', 'c', 'd', 'b', 'd', 'a', 'a', 'd', 'c', 'b', 'e', 'b', 'a', 'e', 'd', 'b', 'e', 'd', 'e', 'b', 'e', 'd', 'e', 'a', 'e', 'b', 'b', 'e', 'e', 'b', 'c', 'a', 'c', 'a', 'a', 'd', 'd', 'a', 'c', 'c', 'a', 'e', 'b', 'e', 'c', 'b', 'a', 'b', 'a', 'b', 'e', 'a', 'c', 'c', 'c', 'b', 'e', 'd', 'd', 'b', 'a', 'e', 'b', 'a', 'b', 'a', 'c', 'b', 'e', 'e', 'd', 'a', 'b', 'd', 'd', 'b', 'd', 'd', 'd', 'a', 'c', 'd', 'c', 'a', 'b', 'c', 'b', 'a', 'b', 'd', 'c', 'e', 'b', 'd', 'c', 'd', 'b', 'b', 'a', 'e', 'b', 'd', 'a', 'c', 'd', 'c', 'b', 'd', 'c', 'c', 'd', 'd', 'c', 'd', 'c', 'd', 'a', 'b', 'b', 'a', 'a', 'd', 'c', 'e', 'd', 'a', 'a', 'b', 'd', 'a', 'c', 'b', 'd', 'b', 'b', 'd', 'c', 'a', 'd', 'a', 'c', 'd', 'b', 'b', 'd', 'd', 'd', 'b', 'd', 'a', 'c', 'd', 'e', 'd', 'a', 'c', 'b', 'e', 'c', 'd', 'b', 'd', 'a', 'e', 'b', 'b', 'b', 'b', 'a', 'a', 'd', 'd', 'd', 'a', 'a', 'd', 'd', 'd', 'a', 'a', 'e', 'b', 'd')",11,1,50402
13,spec_4.dot,27.7,"('b', 'd', 'c', 'c', 'b', 'd', 'e', 'a', 'a', 'a', 'a', 'a', 'c', 'e', 'a', 'e', 'e', 'e', 'c', 'c', 'a', 'b', 'a', 'c', 'd', 'b', 'c', 'c', 'd', 'b', 'c', 'e', 'e', 'a', 'b', 'e', 'e', 'd', 'c', 'c', 'e', 'a', 'b', 'a', 'e', 'a', 'd')",11,1,78372
13,spec_1.dot,30.7,"('c', 'b', 'b', 'b', 'c', 'c', 'a', 'e', 'd', 'e', 'c', 'd', 'b', 'e', 'b', 'e', 'e', 'd', 'd', 'b', 'b', 'a', 'a', 'a', 'b', 'd', 'c', 'd', 'd', 'c', 'a', 'b', 'b', 'c', 'd', 'e', 'b', 'c', 'c', 'b', 'b', 'c', 'd', 'b', 'd', 'c', 'c', 'c', 'c', 'b', 'd', 'e', 'c', 'e', 'e', 'c', 'e', 'c', 'c', 'a', 'b', 'c', 'c', 'c', 'e', 'b', 'a', 'd', 'e', 'b', 'e', 'a', 'a', 'e', 'a', 'd', 'c', 'a', 'e', 'b', 'c', 'c', 'd', 'c', 'b', 'd', 'e', 'a', 'e', 'e', 'd', 'd', 'd', 'd', 'a', 'a', 'd', 'd', 'b', 'c', 'c', 'e', 'a', 'b', 'a', 'c', 'a', 'a', 'c', 'a', 'e', 'e', 'a', 'b', 'c', 'b', 'b', 'b', 'e', 'e', 'c', 'b', 'd', 'd', 'c', 'e', 'e', 'e', 'b', 'a', 'e', 'c')",11,1,84620
13,spec_3.dot,6.3,"('b', 'e', 'c', 'e', 'a', 'a', 'd', 'a', 'e', 'e', 'e', 'c', 'c', 'b', 'b', 'd', 'd', 'c', 'd', 'e', 'd', 'd', 'b', 'b', 'e', 'c', 'b', 'a', 'd', 'e', 'd')",11,1,18825
13,spec_2.dot,2.3,"('e', 'e', 'c', 'a', 'd', 'e', 'a', 'c', 'd', 'b', 'e', 'e', 'a', 'd', 'a', 'd', 'a', 'e', 'e', 'b', 'a', 'e', 'c', 'c', 'a', 'e', 'd', 'b', 'a', 'e', 'e', 'b', 'd', 'b', 'd')",11,1,7214
22,spec_1.dot,34.8,NAN,9,7,120831
22,spec_2.dot,35.4,NAN,9,7,120831
