name,spec_num,spec_states,spec_fin,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_extraction,extraction_mistake_after,dfa_extract_states,dfa_extract_final,dfa_extract_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
13,1,11,9,4.99,"('d', 'b', 'a', 'e', 'e', 'b', 'b', 'a', 'c')",18,1,12687,14.6,NAN,18,1,34121,47.8,NAN,120000
13,2,11,3,15.8,NAN,11,1,40385,91.3,"('d', 'd', 'a', 'a', 'e', 'e', 'd', 'b', 'a', 'd')",111,6,355445,29.7,ebcbddaaaadcabcaeddecaabeeebcdacbaeccebcdaebeddcbcbcdbbdaebddaabebaeeccbcdacbdbeddceeaebbdacddedabebbdcaaebeadebeadbdbadcaccbceaabbcaec,75735
13,3,11,3,16.5,NAN,11,1,43235,43.8,NAN,41,3,108215,29.4,bbadeacbadedbcdecddadcecebcdbecdcceabbeebbddaaeabdacec,75454
13,4,11,5,15.5,"('e', 'a', 'e', 'a', 'd', 'd', 'd', 'a', 'c', 'e', 'b', 'b', 'b', 'd')",34,1,28232,6.33e+02,NAN,444,22,6036019,5.99,bcdcbbdadbcadedbccabaacdbcbccedaebaabdaaedad,14444
13,5,11,4,19.2,"('b', 'd', 'd', 'c', 'b', 'a', 'e', 'c', 'd', 'a', 'a', 'e', 'b', 'd')",21,2,40043,45.4,NAN,49,2,91326,50.3,NAN,120000
22,1,9,8,13.2,NAN,9,7,35508,9.25,NAN,9,7,24121,44.2,NAN,120000
22,2,9,8,14.3,NAN,9,7,38231,10.3,NAN,9,7,25678,45.0,NAN,120000
12,1,15,11,24.9,NAN,15,5,56614,10.3,NAN,15,5,22468,5.93,aeaeaaeebbbeaedadbacdeeaddddebbcbacbddaebdbecaedcacdbceabeececebcbbaddcbdaeeecbeaebcaceeddcbbcdecbedcbcbdbdaeabdecdbabdacccaddabdedeceeeccbaaeebaeecadeecdbeedadbcaebaaccdcaeebcbaaacbaddcbbbccadbedebaccacabaddbcaaeaaecbdbccaaaeacedcbcdabcddceebecdbdddbcaaeddbcceacaeedaccdbddeacdbccdebbebadbbedacdcaedaedbaeeebcceeeacabedececbbeeebcbedaaedeecceaaecedbbaabbdc,9957
12,2,15,12,24.9,NAN,15,5,56586,10.2,NAN,15,5,22428,4.58,eecbeeedaebbeedbaaecbecebeebabdbdbbaabbaadeaecdecbdbbcdabd,10058
12,3,15,13,47.8,"('a', 'a', 'e', 'c', 'e', 'a', 'd', 'c', 'c', 'd', 'd', 'c', 'a', 'b')",33,11,67785,11.9,NAN,15,5,27042,52.6,NAN,120000
12,4,15,8,25.1,"('c', 'b', 'd', 'b', 'b', 'a', 'a', 'a', 'e', 'c', 'a', 'a')",29,7,59025,27.8,"('d', 'a', 'e', 'b', 'e', 'e', 'c', 'a', 'c', 'a', 'b')",32,10,50303,51.9,NAN,120000
12,5,15,10,48.7,"('b', 'd', 'e', 'd', 'b', 'b', 'a', 'a', 'a', 'a', 'e', 'd', 'a')",42,12,81708,11.5,NAN,15,5,27210,4.08,ceecdeddaccbecabbcddabdadeaedeeeebdaadcdbcbbcdcacaeecedadaadaeadecaeeeecbacbbbdabddceeacaeceaccebbddaaaecdbdcc,9310
30,1,24,23,44.4,"('a', 'a', 'b', 'b', 'a', 'e', 'a', 'a', 'd', 'e', 'd', 'e', 'e', 'a', 'd', 'c', 'b', 'b', 'd', 'c', 'e')",40,12,31224,6.05e+02,NAN,462,100,5652890,72.8,NAN,120000
30,2,24,15,19.5,"('b', 'e', 'c', 'a', 'b', 'd', 'c', 'a', 'e', 'd', 'd', 'd', 'a', 'c')",35,10,22326,6.11e+02,"('d', 'a', 'a', 'c', 'e', 'a', 'c', 'd')",387,87,3746709,1.57,eaeecabeeaebadbcbaaeebedeabbedbecbabbeaddebddadeabecabcbbdabdcbee,2465
30,3,24,17,77.1,"('a', 'b', 'b', 'c', 'a', 'b', 'd', 'a', 'b', 'b', 'e', 'c', 'd', 'e', 'd')",41,10,53558,6.39e+02,NAN,331,90,2620602,4.12,edebeedcaacecdbdabdbebbbacddbeccdaaaaaacacddce,6646
30,4,24,22,20.6,"('b', 'a', 'e', 'd', 'e', 'b', 'e', 'd', 'a', 'e')",44,14,35488,6.34e+02,NAN,467,120,6131049,4.09,bcbbabedabcdbcaacbdaccaaaaeedbaddebbbebbcecbeeadeceaccdcccdadbadcdadadddddeeceebbadceedccbabdadcdebbeabecadbbbebeaecdadcbabbddaaeddbcbcbaceabdcecbbecaddadacdcbaccecadadccececaccadeaaac,5184
30,5,24,7,4.97,"('b', 'd', 'd', 'a', 'd', 'b', 'e', 'd', 'c')",29,6,19328,6.35e+02,NAN,376,92,3474028,0.631,bbadbbccbecbcacaaeabaacaaeeeaeabcababcddbeacbcceceedeb,854
26,1,21,12,30.7,"('a', 'c', 'd', 'e', 'b', 'b', 'b', 'a', 'd', 'd', 'a')",30,7,20038,6.13e+02,NAN,317,92,2529504,2.76,bbecbbbbbedebcbedbecbcbdeaabdbedcadedbdbcdaaebddeccdcacbdcdaaeebbbdbdbaccaecbddbeebcaecbdeecbceecedbbdbaaacdcdbbebcaadcdeedabbdbdaddaaccbbdeddaedaebbcceaedbcebcdeedcaeccaeddaccbdecddaceecdbdebbbbaaaeac,1601
