name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
13,spec_second_4.dot,10.0,"('e', 'a', 'c', 'c', 'e', 'a', 'b', 'a', 'c')",19,1,24535,8.51,"('c', 'c', 'd', 'b', 'b', 'a', 'e', 'b', 'e', 'c', 'e', 'd', 'b', 'b', 'e', 'd', 'e', 'd', 'd', 'a', 'a', 'e', 'e', 'd', 'b', 'c', 'e', 'e', 'e', 'b', 'e', 'e', 'a', 'c', 'b', 'd')",24000
13,spec_second_2.dot,19.9,"('e', 'a', 'c', 'c', 'e', 'a', 'b', 'a', 'c', 'b', 'a', 'd')",37,1,54495,5.48,"('d', 'd', 'c', 'c', 'd', 'a', 'e', 'a', 'a', 'c', 'a', 'b', 'c', 'd', 'a', 'c', 'c', 'b', 'd', 'b', 'c', 'c', 'e', 'e', 'd', 'b', 'c', 'a', 'a', 'a', 'b', 'b', 'b', 'b', 'a', 'a', 'c', 'd', 'c', 'd', 'b', 'a', 'd', 'a', 'd', 'a', 'a', 'e', 'e', 'c', 'a', 'b', 'c', 'd', 'd', 'a', 'b', 'c', 'c', 'e', 'e', 'e', 'c', 'a', 'c', 'd', 'c', 'a', 'c', 'e', 'a', 'd', 'd', 'c', 'e', 'e', 'c', 'c', 'a', 'd', 'c', 'c', 'b', 'e', 'e', 'c', 'a', 'd', 'e', 'e', 'c', 'e', 'd', 'a', 'd', 'b', 'd', 'a', 'c', 'b', 'b', 'a', 'b', 'c', 'e', 'e', 'b', 'e', 'c', 'c', 'e', 'c', 'a', 'a', 'e', 'e', 'c', 'd', 'b', 'b', 'a', 'e', 'a', 'b', 'c', 'b', 'e', 'c', 'c', 'b', 'a', 'b', 'a', 'c', 'd', 'c', 'd', 'e', 'e', 'd', 'd', 'e', 'd', 'c', 'd', 'a', 'a', 'b', 'c', 'd', 'b', 'c', 'a', 'b', 'e', 'e', 'c', 'b', 'b', 'd', 'a', 'e', 'b', 'e', 'e', 'b', 'e', 'd', 'd', 'd', 'd', 'a', 'a', 'e', 'e', 'd', 'e', 'd', 'c', 'c', 'c', 'e', 'e', 'a', 'a', 'b', 'a', 'e', 'd', 'a', 'd', 'a', 'b', 'b', 'c', 'b', 'd')",16200
13,spec_second_1.dot,3.86,"('d', 'b', 'a', 'e', 'e', 'b', 'b', 'a', 'c', 'c', 'a', 'a', 'd')",33,1,18509,41.5,NAN,120000
13,spec_second_5.dot,11.1,"('d', 'c', 'b', 'a', 'e', 'e', 'd', 'a', 'b', 'a', 'c')",31,2,25151,33.6,"('d', 'e', 'c', 'b', 'e', 'd', 'b', 'c', 'a', 'e', 'c', 'd', 'c', 'd', 'a', 'c', 'c', 'a', 'a', 'a', 'a', 'b', 'c', 'b', 'd', 'a', 'd', 'e', 'e', 'e', 'b', 'c', 'e', 'c', 'c', 'd')",97400
13,spec_second_3.dot,4.93,"('d', 'd', 'a', 'a', 'e', 'e', 'd', 'a', 'e', 'd')",16,1,12852,28.1,"('d', 'd', 'b', 'd', 'c', 'a', 'b', 'd', 'd', 'a', 'a', 'e', 'e', 'd', 'a', 'e', 'c', 'c', 'e', 'a', 'a', 'c', 'a', 'c', 'c', 'e', 'e', 'e', 'd', 'e', 'd', 'd', 'a', 'e', 'e', 'a', 'd')",82800
22,spec_second_2.dot,11.4,NAN,9,7,38231,25.1,"('c', 'b', 'a', 'e', 'd', 'd', 'e', 'e', 'c', 'a', 'a', 'c', 'c', 'a', 'b', 'd', 'a', 'b', 'c', 'e', 'd', 'b', 'e', 'e', 'a', 'd', 'e', 'd', 'a', 'a', 'e', 'e', 'e', 'b', 'd', 'b', 'a', 'b', 'b', 'e', 'c', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a', 'd', 'c', 'a', 'e', 'e', 'b', 'd', 'd', 'd', 'e', 'a', 'e', 'a', 'd', 'a', 'd', 'a', 'c', 'a', 'a', 'd', 'a', 'c', 'e', 'b', 'b', 'd', 'a', 'c', 'e', 'a', 'e', 'e', 'b', 'a', 'a', 'a', 'b', 'b', 'c', 'c', 'a', 'e', 'd', 'c', 'd', 'e', 'b', 'd', 'a', 'a', 'a', 'c', 'd', 'e', 'b', 'a', 'd', 'd', 'e', 'c', 'a', 'b', 'c', 'a', 'c', 'd', 'a', 'd', 'e', 'c', 'd', 'e', 'e', 'b', 'd', 'a', 'b', 'a', 'a', 'a', 'c', 'd', 'c', 'c', 'a', 'c', 'e', 'a', 'a', 'a', 'b', 'a', 'e', 'd', 'd', 'd', 'c', 'c', 'b', 'a', 'b', 'e', 'a', 'c', 'a', 'b', 'c', 'b', 'b', 'c', 'c', 'a', 'e', 'b', 'b', 'd', 'a', 'e', 'a', 'b', 'd', 'e', 'b', 'a', 'a', 'a', 'b', 'a', 'd', 'b', 'a', 'b', 'a', 'a', 'c', 'a', 'b', 'a', 'e', 'a', 'a', 'd', 'c', 'c', 'a', 'b', 'c', 'b', 'a', 'c', 'c', 'c', 'c', 'c', 'a', 'c', 'e', 'a', 'd', 'd', 'b', 'd', 'a', 'd', 'e', 'c', 'e', 'e', 'c', 'd', 'b', 'd', 'c', 'e', 'd', 'a', 'd', 'e', 'a', 'e', 'e', 'a', 'a', 'e', 'e', 'c', 'e', 'e', 'a', 'e', 'c', 'e', 'a', 'c', 'd', 'a', 'c', 'd', 'e', 'e', 'b', 'a', 'c', 'b', 'd', 'a', 'd', 'd', 'a', 'd', 'a', 'c', 'b', 'd', 'b', 'a', 'b', 'b', 'd', 'a', 'd', 'd', 'd', 'd', 'b', 'd', 'c', 'd', 'e', 'e', 'b', 'd', 'e', 'd', 'b', 'a', 'e', 'e', 'd', 'b', 'e', 'a', 'b', 'b', 'e', 'b', 'c', 'e', 'c', 'b', 'c', 'b', 'c', 'a', 'a', 'b', 'd', 'e', 'd', 'e', 'a', 'c', 'd', 'e', 'a', 'e', 'c', 'e', 'd', 'c', 'a', 'd', 'a', 'a', 'd', 'c', 'b', 'b', 'e', 'a', 'e', 'd', 'd', 'c', 'c', 'd', 'd', 'b', 'e', 'b', 'c')",83800
22,spec_second_1.dot,10.3,NAN,9,7,35508,35.7,NAN,120000
12,spec_second_4.dot,16.8,NAN,15,5,45685,46.7,NAN,120000
12,spec_second_2.dot,23.3,"('a', 'a', 'e', 'd', 'b', 'b', 'a', 'a', 'a', 'e', 'd', 'a', 'a')",25,5,21827,32.0,"('d', 'd', 'c', 'c', 'a', 'e', 'c', 'e', 'a', 'c', 'c', 'b', 'e', 'c', 'c', 'd', 'd', 'c', 'a')",87000
12,spec_second_1.dot,15.7,"('c', 'b', 'd', 'b', 'b', 'a', 'a', 'b', 'b', 'a')",27,6,45227,43.7,NAN,120000
