name,spec_num,mistake_time_rand,mistake_rand,rand_num_queries
13,spec_second_4.dot,7.28,"('c', 'c', 'b', 'd', 'a', 'e', 'e', 'e', 'a', 'c', 'c', 'd', 'e', 'd', 'b', 'b', 'a', 'e', 'd', 'a', 'b', 'c', 'c', 'd', 'e', 'd', 'a', 'a', 'b', 'd', 'a', 'a', 'e', 'e', 'd', 'c', 'e', 'e', 'c', 'e', 'c')",18200
13,spec_second_2.dot,24.5,"('e', 'b', 'c', 'a', 'c', 'b', 'e', 'b', 'c', 'e', 'e', 'd', 'a', 'a', 'd', 'b', 'b', 'c', 'c', 'b', 'e', 'b', 'd', 'c', 'c', 'e', 'a', 'e', 'e', 'e', 'c', 'a', 'd', 'a', 'b', 'a', 'd', 'b', 'e', 'd', 'c', 'b', 'd', 'd', 'a', 'a', 'a', 'a', 'c', 'b', 'e', 'a', 'a', 'a', 'e', 'b', 'c', 'd', 'b', 'a', 'd', 'c', 'c', 'b', 'e', 'c', 'd', 'd', 'b', 'd', 'e', 'c', 'd', 'e', 'd', 'b', 'a', 'e', 'd', 'e', 'e', 'd', 'c', 'd', 'c', 'd', 'a', 'b', 'a', 'c', 'c', 'd', 'a', 'd', 'a', 'b', 'd', 'c', 'b', 'a', 'd', 'b', 'c', 'c', 'a', 'a', 'b', 'e', 'a', 'b', 'b', 'b', 'c', 'b', 'a', 'b', 'd', 'e', 'd', 'a', 'b', 'a', 'c', 'b', 'b', 'e', 'e', 'd', 'b', 'e', 'b', 'c', 'a', 'a', 'c', 'a', 'e', 'c', 'e', 'c', 'c', 'a', 'e', 'd', 'b', 'c', 'c', 'e', 'a', 'c', 'e', 'c', 'c', 'd', 'b', 'd', 'c', 'e', 'a', 'd', 'e', 'd', 'e', 'e', 'b', 'e', 'c', 'b', 'a', 'd', 'd', 'e', 'c', 'e', 'b', 'a', 'd', 'c', 'e', 'c', 'b', 'c', 'b', 'b', 'd', 'd', 'b', 'c', 'a', 'c', 'c', 'd', 'e', 'd', 'b', 'd', 'e', 'd', 'c', 'b', 'a', 'c', 'd', 'b', 'd', 'c', 'b', 'd', 'a', 'c', 'e', 'e', 'd', 'c', 'c', 'c', 'a', 'd', 'c', 'b', 'c', 'c', 'a', 'd', 'b', 'e', 'd', 'b', 'c', 'd', 'a', 'a', 'c', 'd', 'b', 'b', 'd', 'a', 'b', 'd', 'c', 'b', 'd', 'e', 'c', 'e', 'c', 'c', 'b', 'e', 'e', 'd', 'b', 'c', 'e', 'e', 'd', 'e', 'b', 'b', 'd', 'a', 'd', 'a', 'a', 'c', 'b', 'b', 'd', 'c', 'd', 'd', 'b', 'e', 'b', 'e', 'd', 'a', 'd', 'e', 'c', 'd', 'd', 'a', 'a', 'e', 'd', 'e', 'a', 'e', 'c', 'd', 'a', 'b', 'b', 'a', 'c', 'c', 'c', 'a', 'c', 'b', 'b', 'b', 'b', 'a', 'a', 'e', 'c', 'a', 'd', 'c', 'c', 'd', 'c', 'a', 'c', 'b', 'a', 'a', 'b', 'a', 'e', 'd', 'd', 'b', 'c', 'd', 'a', 'e', 'b', 'c', 'd', 'b', 'b', 'd', 'c', 'c', 'b', 'd', 'e', 'a', 'c', 'b', 'd', 'e', 'b', 'a', 'c', 'b', 'e', 'e', 'e', 'a', 'e', 'c', 'c', 'c', 'a', 'd', 'a', 'b', 'e', 'a', 'b', 'd', 'd', 'd', 'e', 'c', 'a', 'c', 'd', 'b', 'd', 'd', 'd', 'c', 'a', 'd', 'a', 'a', 'e', 'e', 'd', 'b', 'd', 'c', 'b', 'd')",67000
13,spec_second_1.dot,96.3,"('d', 'c', 'a', 'b', 'c', 'd', 'b', 'c', 'b', 'a', 'b', 'd', 'a', 'd', 'c', 'c', 'b', 'b', 'c', 'c', 'd', 'a', 'b', 'b', 'c', 'b', 'e', 'd', 'a', 'b', 'e', 'c', 'a', 'e', 'c', 'b', 'e', 'c', 'c', 'e', 'd', 'c', 'e', 'c', 'c', 'b', 'c', 'e', 'e', 'c', 'e', 'b', 'd', 'e', 'a', 'b', 'd', 'e', 'e', 'd', 'a', 'a', 'b', 'a', 'b', 'b', 'd', 'c', 'c', 'd', 'a', 'c', 'a', 'b', 'c', 'd', 'b', 'b', 'b', 'd', 'b', 'a', 'd', 'e', 'c', 'a', 'e', 'b', 'c', 'c', 'b', 'e', 'd', 'e', 'b', 'd', 'e', 'e', 'd', 'e', 'a', 'a', 'b', 'a', 'd', 'a', 'c', 'a', 'b', 'c', 'b', 'e', 'e', 'd', 'd', 'd', 'a', 'c', 'b', 'c', 'c', 'a', 'd')",267800
13,spec_second_5.dot,16.8,"('b', 'a', 'b', 'c', 'a', 'd', 'e', 'd', 'c', 'a', 'e', 'b', 'b', 'd', 'b', 'c', 'a', 'e', 'e', 'e', 'b', 'e', 'a', 'b', 'c', 'd', 'c', 'b', 'a', 'e', 'd', 'b', 'e', 'd', 'a', 'a', 'e', 'e', 'a', 'b', 'a', 'a', 'a', 'b', 'b', 'e', 'b', 'a', 'c', 'c', 'b', 'a', 'c', 'a', 'a', 'd')",47200
13,spec_second_3.dot,27.3,"('c', 'd', 'e', 'a', 'b', 'b', 'd', 'e', 'c', 'c', 'd', 'e', 'e', 'd', 'c', 'b', 'a', 'e', 'e', 'b', 'b', 'a', 'c', 'c', 'e', 'c', 'b', 'e', 'c', 'a', 'e', 'e', 'a', 'c', 'e', 'b', 'c', 'c', 'd', 'b', 'd', 'c', 'c', 'a', 'd')",77400
22,spec_second_2.dot,2.19e+02,"('e', 'b', 'e', 'e', 'e', 'a', 'b', 'd', 'b', 'a', 'd', 'a', 'e', 'c', 'b', 'd', 'a')",719200
22,spec_second_1.dot,6e+02,NAN,1957200
12,spec_second_4.dot,18.4,"('b', 'e', 'c', 'e', 'c', 'd', 'b', 'a', 'd', 'a', 'b', 'e', 'c', 'b', 'd', 'd', 'e', 'd', 'e', 'e', 'e', 'b', 'e', 'd', 'b', 'a', 'd', 'd', 'c', 'c', 'c', 'e', 'd', 'b', 'd', 'e', 'd', 'b', 'd', 'c', 'b', 'd', 'e', 'e', 'b', 'c', 'd', 'a', 'c', 'a', 'd', 'b', 'c', 'a', 'c', 'e', 'c', 'c', 'c', 'e', 'e', 'd', 'b', 'b', 'e', 'e', 'a', 'c', 'd', 'c', 'd', 'c', 'e', 'd', 'a', 'd', 'a', 'a', 'c', 'd', 'e', 'd', 'e', 'd', 'd', 'a', 'a', 'c', 'c', 'e', 'a', 'a', 'e', 'd', 'a', 'b', 'a', 'e', 'a', 'd', 'b', 'b', 'a', 'c', 'c', 'c', 'a', 'a', 'a', 'e', 'c', 'd', 'c', 'a', 'c', 'b', 'e', 'c', 'a', 'a', 'b', 'e', 'd', 'b', 'd', 'd', 'b', 'a', 'b', 'c', 'a', 'b', 'a', 'e', 'c', 'd', 'c', 'e', 'a', 'a', 'd', 'e', 'c', 'c', 'b', 'c', 'a', 'e', 'e', 'e', 'd', 'e', 'e', 'a', 'd', 'd', 'e', 'd', 'b', 'b', 'a', 'a', 'b', 'b', 'd', 'd', 'b', 'a', 'c')",47400
12,spec_second_2.dot,29.9,"('a', 'e', 'b', 'b', 'e', 'b', 'b', 'a', 'c', 'c', 'd', 'a', 'c', 'b', 'c', 'c', 'd', 'a', 'a', 'b', 'e', 'd', 'c', 'e', 'c', 'a', 'c', 'c', 'd', 'a', 'a', 'e', 'e', 'b', 'd', 'e', 'e', 'e', 'c', 'e', 'd', 'd', 'd', 'b', 'd', 'a', 'a', 'e', 'e', 'c', 'd', 'a', 'b', 'c', 'a', 'e', 'b', 'b', 'b', 'c', 'a', 'b', 'e', 'd', 'c', 'a', 'e', 'a', 'b', 'c', 'a', 'c', 'e', 'e', 'e', 'a', 'b', 'a', 'c', 'b', 'e', 'b', 'a', 'a', 'd', 'd', 'e', 'a', 'a', 'd', 'a', 'c', 'd', 'e', 'c', 'c', 'e', 'c', 'a', 'e', 'e', 'a', 'd', 'c', 'd', 'c', 'd', 'a', 'd', 'b', 'c', 'c', 'b', 'e', 'c', 'e', 'd', 'c', 'e', 'd', 'b', 'b', 'd', 'a', 'e', 'c', 'd', 'e', 'd', 'd', 'c', 'a', 'e', 'd', 'e', 'a', 'a', 'a', 'c', 'c', 'e', 'e', 'e', 'c', 'c', 'e', 'd', 'd', 'c', 'e', 'a', 'd', 'e', 'b', 'e', 'a', 'c', 'd', 'a', 'c', 'd', 'b', 'c', 'd', 'b', 'a', 'c', 'e', 'b', 'e', 'b', 'c', 'b', 'e', 'b', 'c', 'c', 'c', 'b', 'a', 'a', 'c', 'c', 'c', 'e', 'e', 'e', 'e', 'a', 'e', 'c', 'd', 'e', 'e', 'd', 'c', 'b', 'c', 'b', 'd', 'd', 'b', 'a', 'd', 'e', 'b', 'a', 'a', 'a', 'd', 'c', 'c', 'a', 'b', 'b', 'c', 'c', 'd', 'c', 'a', 'e', 'a', 'e', 'a')",76600
12,spec_second_1.dot,71.7,"('d', 'a', 'e', 'e', 'a', 'e', 'b', 'd', 'c', 'c', 'e', 'a', 'e', 'd', 'd', 'c', 'd', 'e', 'b', 'b', 'a', 'b', 'c', 'd', 'b', 'a', 'b', 'e', 'e', 'b', 'b', 'b', 'c', 'c', 'd', 'b', 'e', 'b', 'c', 'd', 'a', 'c', 'a', 'a', 'e', 'd', 'a', 'c', 'e', 'b', 'c', 'b', 'b', 'c', 'e', 'd', 'b', 'd', 'a', 'd', 'b', 'c', 'a', 'c', 'd', 'b', 'b', 'd', 'b', 'a', 'c', 'b', 'a', 'd', 'b', 'b', 'b', 'd', 'a', 'b', 'b', 'e', 'b', 'd', 'd', 'c', 'd', 'd', 'c', 'b', 'c', 'b', 'd', 'a', 'c', 'a', 'c', 'c', 'e', 'c', 'a', 'b', 'b', 'd', 'b', 'a', 'd', 'e', 'd', 'c', 'a', 'a', 'c', 'e', 'e', 'd', 'c', 'd', 'b', 'c', 'c', 'c', 'e', 'd', 'b', 'b', 'e', 'a', 'd', 'c', 'e', 'd', 'a', 'd', 'e', 'a', 'a', 'd', 'a', 'a', 'd', 'b', 'b', 'c', 'e', 'd', 'c', 'a', 'a', 'e', 'c', 'c', 'd', 'd', 'b', 'c', 'a', 'c', 'd', 'e', 'd', 'd', 'a', 'b', 'd', 'b', 'b', 'a', 'a', 'a', 'e', 'd', 'c', 'a', 'b', 'a', 'a', 'd', 'b', 'c', 'e', 'c', 'c', 'd')",183800
