name,extraction_time,dfa_extract_states,dfa_extract_final,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
7,41.2,7,3,4.339506609039343e-06,4.339506609039343e-06,0.0
9,9.72e+03,528,449,0.00017391407256226905,5.741501051959746e-05,0.0001745816889636597
2,1.09e+04,506,415,0.00013719517048578231,0.0004005698408344009,0.00031811921526265336
3,1.43e+04,510,235,0.00034515767951897545,0.0006979929476539435,0.0006632768947816289
5,1.26e+04,533,144,9.947484380720956e-05,0.00015154892311568168,6.342355813211348e-05
6,1.94e+04,516,135,0.00021330344024431849,0.0007630855467895337,0.000590506707030046
name,extraction_time,dfa_extract_states,dfa_extract_final,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
10,1.24e+04,523,268,0.00023833905529646853,0.0011760062910496619,0.0009456786325698815
1,1.31e+04,508,83,4.673314809734677e-05,0.00013452470488021964,9.380010439538888e-05
8,1.59e+04,518,245,0.000601522377652992,0.0011806796058593967,0.0006719559079997076
4,7.11e+02,66,11,3.0376546263275403e-05,4.1392216886221425e-05,1.1015670622946024e-05
