name,extraction_time,Timeout,dfa_extract_states,dfa_extract_final,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
7,15.9,300,7,3,6.342355813211348e-06,6.342355813211348e-06,0.0
9,1.46e+03,300,269,232,0.00018392831858312907,5.073884650569078e-05,0.00018860163339286376
2,4.65e+02,300,255,199,0.00015088130671429102,0.0005567920787598172,0.00046733148097346773
3,2.22e+02,300,247,114,0.0003301363104876854,0.0007150171658894056,0.0006853082360275209
5,2.29e+02,300,264,67,9.813961100442822e-05,0.00021697533045196714,0.00015021369031290033
6,3.02e+02,300,256,90,0.00021764294685335783,0.000313779708653614,0.00012818234906700828
10,2.28e+02,300,257,138,0.00023566858969090585,0.00033614485810020144,0.00012584569166214094
1,2.86e+02,300,251,41,4.70669562980421e-05,7.377161235366883e-05,4.0724600484830756e-05
8,3.72e+02,300,261,135,0.0006332341567190488,0.0006636107029823242,8.979440598704487e-05
4,7.03,300,16,4,2.603703965423606e-05,2.603703965423606e-05,0.0
