name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_extraction,extraction_mistake_after,dfa_extract_states,dfa_extract_final,dfa_extract_mem_queries,mistake_time_super,extraction_super_mistake_after,dfa_extract_super_states,dfa_extract_super_final,dfa_extract_super_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
7,1,7.7,NAN,7,3,25356,8.63,NAN,7,3,26592,5.02,NAN,7,3,16602,36.9,NAN,120000
7,2,7.8,NAN,7,3,25355,9.05,NAN,7,3,26804,5.17,NAN,7,3,16602,37.1,NAN,120000
7,3,7.75,NAN,7,3,25361,8.27,NAN,7,3,26553,5.15,NAN,7,3,16602,36.9,NAN,120000
7,4,7.61,NAN,7,3,25359,8.57,NAN,7,3,26680,5.11,NAN,7,3,16602,36.6,NAN,120000
9,1,8.49,"('e', 'c', 'c', 'c', 'a', 'a', 'b', 'c')",11,9,26673,32.3,"('e', 'c', 'c', 'c', 'a', 'a', 'b', 'c')",13,11,83142,5.05,NAN,13,11,16602,0.804,"('a', 'e', 'e', 'c', 'c', 'a', 'a', 'b', 'a', 'b', 'b', 'a', 'b', 'd', 'd', 'b', 'd', 'e')",2600
9,2,8.75,"('e', 'c', 'c', 'c', 'c', 'a', 'a', 'b', 'b')",11,9,17313,25.0,"('e', 'c', 'c', 'c', 'a', 'a', 'b', 'b')",13,11,75625,5.17,NAN,13,11,16602,4.64,"('e', 'b', 'a', 'e', 'e', 'b', 'a', 'e', 'b', 'c', 'd', 'e', 'd', 'c', 'c', 'c', 'a', 'a', 'c', 'c', 'a', 'b', 'b', 'a')",14600
2,1,41.8,"('b', 'd', 'a', 'b', 'b', 'e', 'a')",22,16,109131,9.01e+02,"('a', 'e', 'c', 'c', 'e', 'a')",314,253,4291320,6.41,NAN,314,253,16602,9.93,"('e', 'c', 'b', 'd', 'a', 'a', 'e', 'c', 'a', 'e', 'b', 'c', 'b', 'c')",25600
2,2,13.9,NAN,14,12,36838,9.01e+02,NAN,329,279,4700208,7.18,NAN,329,279,16602,6.21,"('b', 'd', 'a', 'e', 'e', 'c', 'a', 'b', 'e', 'd')",13800
3,1,7.66,"('e', 'd', 'c', 'd', 'c')",12,5,18239,9.04e+02,"('e', 'd', 'c', 'd', 'c')",359,176,5044712,9.01e+02,"('e', 'd', 'c', 'd', 'c')",359,176,3716310,0.146,"('b', 'd', 'c', 'e', 'a', 'e', 'b', 'a', 'b', 'a', 'd', 'd', 'd', 'a', 'b', 'b', 'd', 'd', 'c', 'd', 'd', 'e', 'b', 'b', 'b', 'd', 'a', 'd', 'c', 'e', 'e', 'd', 'c', 'b', 'd', 'c', 'c', 'd', 'e', 'a', 'e', 'c', 'c', 'd', 'b', 'b', 'b', 'c', 'e', 'b', 'd')",400
3,2,7.12,"('e', 'd', 'c', 'd', 'd', 'd')",14,5,19033,9.03e+02,"('e', 'c', 'd', 'a', 'a', 'd')",327,156,4612585,9.03e+02,"('e', 'c', 'd', 'a', 'a', 'd')",327,156,2778919,0.993,"('e', 'd', 'c', 'd', 'c', 'd', 'c', 'b', 'c', 'a', 'c', 'c', 'd', 'c', 'c', 'a', 'b', 'e', 'a', 'b', 'e', 'c', 'e', 'a', 'a', 'a', 'b', 'e', 'd')",2400
3,3,3.64,"('e', 'd', 'c', 'd', 'b', 'e', 'e')",14,5,9645,9.04e+02,"('a', 'e', 'c', 'c', 'a', 'b', 'd')",311,147,4124478,9.11e+02,"('a', 'e', 'c', 'c', 'a', 'b', 'd')",311,147,3229575,14.0,"('c', 'c', 'b', 'e', 'b', 'd', 'b', 'b', 'b', 'd', 'b', 'c', 'a', 'e', 'd', 'c', 'd', 'd', 'd', 'd', 'a', 'e', 'a', 'a', 'a', 'a', 'e', 'b', 'c', 'c', 'a', 'b', 'b', 'd', 'c', 'e', 'e', 'd', 'b', 'b', 'e')",38200
3,4,1.59,"('e', 'd', 'c', 'd', 'c', 'd', 'a')",15,6,5101,9.02e+02,"('e', 'd', 'c', 'e', 'e', 'b')",289,137,3799328,9.14e+02,"('e', 'd', 'c', 'e', 'e', 'b')",289,137,2783124,51.3,NAN,120000
3,5,1.3,"('e', 'd', 'c', 'd', 'c', 'c')",14,5,4174,9.01e+02,"('e', 'd', 'c', 'd', 'c', 'c')",340,162,4770562,9.02e+02,"('e', 'd', 'c', 'd', 'c', 'c')",340,162,3408082,10.3,"('e', 'b', 'b', 'd', 'c', 'a', 'e', 'c', 'd', 'e', 'c', 'd', 'b')",24000
5,1,14.1,NAN,12,3,33632,9.05e+02,"('d', 'b', 'a', 'd', 'd', 'a', 'c', 'd')",220,54,3188277,27.4,NAN,220,54,73165,28.3,"('b', 'e', 'd', 'e', 'a', 'c', 'e', 'c', 'd', 'c', 'e', 'e', 'd', 'c', 'c')",75200
5,2,11.9,NAN,12,3,33670,9.01e+02,NAN,231,69,3503205,29.4,NAN,231,69,70000,23.0,"('e', 'c', 'b', 'a', 'c', 'd', 'b', 'c', 'c', 'e', 'b', 'e', 'e', 'a', 'a', 'a', 'e', 'd', 'd', 'c', 'e', 'd', 'a', 'b', 'e', 'e')",56200
5,3,74.3,"('a', 'a', 'b', 'a', 'b', 'a', 'b', 'e', 'a')",21,6,148993,70.8,NAN,12,3,134857,15.2,NAN,12,3,35800,51.4,NAN,120000
