name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
7,spec_4.dot,7.56,NAN,7,3,25358
7,spec_1.dot,23.5,NAN,7,3,75272
7,spec_3.dot,10.5,NAN,7,3,34704
7,spec_2.dot,7.61,NAN,7,3,25358
9,spec_1.dot,3.86,"('e', 'c', 'c', 'c', 'a', 'a', 'b', 'b')",13,11,10673
9,spec_2.dot,3.26,"('e', 'c', 'c', 'c', 'c', 'a', 'e', 'd', 'b')",11,9,9520
2,spec_1.dot,33.9,"('b', 'a', 'e', 'c', 'c', 'e', 'a')",17,15,82611
2,spec_2.dot,36.1,"('b', 'd', 'a', 'e', 'e', 'b', 'e')",19,15,85364
3,spec_5.dot,2.43,"('e', 'd', 'c', 'd', 'c')",13,5,7949
3,spec_4.dot,1.1,"('e', 'd', 'c', 'd', 'c')",12,5,3673
3,spec_1.dot,12.8,"('e', 'd', 'c', 'd', 'c')",16,6,30275
3,spec_3.dot,12.5,"('e', 'd', 'c', 'd', 'c')",14,5,31187
3,spec_2.dot,0.604,"('e', 'd', 'c', 'd', 'c')",12,5,1821
5,spec_5.dot,1.24e+02,"('a', 'e', 'a', 'b', 'b', 'e', 'd', 'b', 'b', 'b')",27,7,280527
5,spec_4.dot,14.3,NAN,12,3,37683
5,spec_1.dot,99.5,"('c', 'b', 'd', 'c', 'b', 'd', 'd', 'a', 'e', 'b')",28,10,232129
5,spec_3.dot,97.3,"('d', 'b', 'a', 'd', 'd', 'e', 'd', 'b', 'e')",28,6,216139
5,spec_2.dot,47.0,"('a', 'b', 'b', 'd', 'e', 'd', 'b', 'b', 'a', 'b')",19,4,97812
6,spec_5.dot,50.0,"('d', 'd', 'b', 'b', 'c', 'b', 'c', 'b', 'c', 'a')",23,6,93610
6,spec_4.dot,1.29e+02,"('a', 'd', 'c', 'a', 'e', 'c', 'b', 'b', 'b')",22,7,158559
6,spec_1.dot,1.35e+02,"('d', 'd', 'b', 'b', 'c', 'b', 'c', 'a', 'c', 'a')",33,10,118441
6,spec_3.dot,52.3,"('a', 'd', 'c', 'a', 'e', 'c', 'b', 'b', 'b')",31,8,79128
6,spec_2.dot,2.28e+02,"('a', 'e', 'c', 'e', 'd', 'b', 'a')",34,13,190280
10,spec_5.dot,23.6,"('b', 'a', 'e', 'e', 'd', 'd', 'c', 'a', 'c')",17,10,32038
10,spec_4.dot,73.3,"('b', 'a', 'e', 'e', 'd', 'd', 'c', 'a', 'c')",22,15,136990
10,spec_1.dot,27.4,"('b', 'a', 'e', 'e', 'd', 'd', 'c', 'a', 'c')",17,10,67033
10,spec_3.dot,2.75,"('b', 'a', 'e', 'e', 'd', 'd', 'c', 'a', 'c')",17,10,8553
10,spec_2.dot,66.7,"('b', 'a', 'e', 'e', 'd', 'd', 'c', 'a', 'c')",23,12,95987
1,spec_5.dot,73.0,"('a', 'c', 'b', 'b', 'b', 'a', 'a', 'a')",19,2,150021
1,spec_4.dot,63.3,NAN,16,2,143828
1,spec_1.dot,14.7,NAN,16,2,40086
1,spec_3.dot,15.3,NAN,16,2,40086
1,spec_2.dot,68.5,NAN,16,2,175924
8,spec_5.dot,54.4,"('b', 'a', 'c', 'b', 'd', 'd', 'd', 'd')",24,11,47684
8,spec_4.dot,29.3,"('e', 'e', 'b', 'd', 'e', 'd', 'd', 'b')",22,10,36037
8,spec_1.dot,1.45e+02,"('c', 'a', 'd', 'c', 'b', 'e', 'c', 'c', 'c')",24,12,128747
8,spec_3.dot,8.86,"('a', 'c', 'c', 'a', 'c', 'a', 'e', 'e', 'a', 'a', 'd')",24,12,19505
8,spec_2.dot,57.7,"('e', 'e', 'b', 'd', 'e', 'd', 'd', 'b')",22,10,40040
4,spec_5.dot,14.4,NAN,16,4,40229
4,spec_4.dot,14.5,NAN,16,4,40127
4,spec_1.dot,23.7,NAN,16,4,64359
4,spec_3.dot,18.9,NAN,16,4,50827
4,spec_2.dot,29.1,NAN,16,4,78762
