name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
7,spec_4.dot,7.78,NAN,7,3,25358
7,spec_1.dot,8.16,"('d', 'b', 'c', 'e', 'e', 'e', 'b', 'a', 'b')",14,5,25558
7,spec_3.dot,8.33,NAN,7,3,25358
7,spec_2.dot,8.26,NAN,7,3,25358
9,spec_1.dot,5.71,"('e', 'c', 'c', 'c', 'c', 'a', 'e', 'd', 'b')",11,9,17505
9,spec_2.dot,1.39,"('e', 'c', 'c', 'c', 'a', 'a', 'b', 'b')",11,9,3116
2,spec_1.dot,5.19,"('d', 'e', 'd', 'b', 'e', 'e', 'c', 'b', 'a', 'c', 'e', 'a')",32,24,16923
2,spec_2.dot,17.9,"('b', 'd', 'd', 'd', 'a', 'c', 'b', 'a', 'c')",31,25,27665
3,spec_5.dot,0.786,"('e', 'd', 'c', 'd', 'c')",14,5,3107
3,spec_4.dot,5.23,"('e', 'd', 'c', 'e', 'e', 'd', 'a', 'b')",15,6,5325
3,spec_1.dot,3.98,"('a', 'e', 'c', 'c', 'd', 'c')",15,5,4150
3,spec_3.dot,2.39,"('e', 'd', 'c', 'd', 'c')",13,5,6526
3,spec_2.dot,7.07,"('e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'c')",16,9,5726
5,spec_5.dot,5.48,"('a', 'b', 'd', 'b', 'd', 'c', 'b', 'd', 'd', 'a', 'e', 'b')",19,6,13461
5,spec_4.dot,6.4,"('a', 'e', 'a', 'b', 'b', 'e', 'd', 'b', 'b', 'b')",17,3,10111
name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
7,spec_4.dot,8.86,NAN,7,3,25358
7,spec_1.dot,8.77,NAN,7,3,25358
7,spec_3.dot,8.97,NAN,7,3,25358
7,spec_2.dot,4.48,"('b', 'c', 'c', 'c', 'b', 'e', 'b', 'e', 'e', 'e', 'e', 'd', 'a')",17,4,12574
