name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
7,spec_4.dot,7.92,NAN,7,3,25358
7,spec_1.dot,7.2,NAN,7,3,25358
7,spec_3.dot,7.34,NAN,7,3,25358
7,spec_2.dot,7.25,NAN,7,3,25358
9,spec_1.dot,5.5,"('e', 'c', 'c', 'c', 'a', 'a', 'b', 'b')",11,9,15713
9,spec_2.dot,8.17,NAN,9,7,28550
2,spec_1.dot,2.96,"('e', 'c', 'b', 'd', 'a', 'c', 'b', 'a', 'c')",21,16,11385
2,spec_2.dot,7.97,"('a', 'e', 'c', 'c', 'e', 'a')",20,17,24225
3,spec_5.dot,2.76,"('e', 'c', 'd', 'a', 'a', 'd')",15,7,8593
3,spec_4.dot,2.21,"('e', 'd', 'c', 'd', 'c')",18,6,7826
3,spec_1.dot,25.5,"('b', 'd', 'e', 'b', 'e', 'b', 'd', 'e', 'd', 'e', 'e', 'b', 'b')",42,24,38452
3,spec_3.dot,1.68,"('e', 'd', 'c', 'd', 'c')",15,6,6121
3,spec_2.dot,1.76,"('e', 'd', 'c', 'e', 'b', 'a', 'a', 'b', 'd')",18,8,5903
5,spec_5.dot,2.63,"('d', 'b', 'a', 'd', 'd', 'a', 'c', 'd')",20,3,10090
5,spec_4.dot,4.03,"('e', 'd', 'd', 'c', 'a', 'd', 'd', 'c', 'd', 'b', 'b', 'c', 'a')",34,9,17048
5,spec_1.dot,11.7,"('a', 'b', 'b', 'e', 'b', 'e', 'e', 'd', 'b', 'd', 'e', 'a', 'd', 'e')",27,6,16027
5,spec_3.dot,19.6,"('a', 'e', 'a', 'b', 'b', 'e', 'd', 'b', 'b', 'b')",17,3,14661
5,spec_2.dot,12.8,NAN,12,3,34452
6,spec_5.dot,33.2,"('a', 'b', 'a', 'e', 'a', 'a', 'b', 'c', 'a', 'b', 'a')",49,16,58040
6,spec_4.dot,4.4,"('d', 'd', 'b', 'b', 'c', 'b', 'c', 'b', 'c', 'a')",23,6,15305
6,spec_1.dot,47.3,"('c', 'b', 'c', 'e', 'd', 'c', 'a', 'e', 'a', 'a', 'b', 'b', 'b')",38,13,51207
6,spec_3.dot,3.15,"('c', 'b', 'c', 'c', 'c', 'd', 'd', 'c', 'e', 'e')",24,7,10197
6,spec_2.dot,15.4,"('b', 'e', 'a', 'd', 'b', 'b', 'c', 'a', 'e', 'b', 'd')",32,10,28984
10,spec_5.dot,19.7,"('a', 'a', 'a', 'd', 'e', 'e', 'b', 'd', 'c', 'a', 'c')",42,22,36083
10,spec_4.dot,24.3,"('c', 'b', 'e', 'c', 'e', 'b', 'd', 'c', 'a', 'c')",44,24,44444
10,spec_1.dot,7.02,"('b', 'a', 'e', 'e', 'd', 'd', 'c', 'a', 'a', 'c', 'd')",20,11,7643
10,spec_3.dot,23.4,"('a', 'd', 'b', 'b', 'b', 'b', 'e', 'c', 'a', 'c', 'b', 'e')",45,21,50926
10,spec_2.dot,3.35,"('e', 'd', 'b', 'b', 'e', 'e', 'd', 'e', 'd', 'a', 'e', 'e', 'b', 'a')",25,11,13243
1,spec_5.dot,14.8,NAN,16,2,40086
1,spec_4.dot,12.0,"('e', 'c', 'b', 'a', 'b', 'd', 'c', 'e', 'e')",31,5,33789
1,spec_1.dot,3.74,"('a', 'c', 'b', 'b', 'b', 'a', 'a', 'a')",19,2,11843
1,spec_3.dot,15.5,NAN,16,2,40086
1,spec_2.dot,15.4,"('a', 'd', 'b', 'd', 'b', 'e', 'e', 'a', 'e')",22,3,38912
8,spec_5.dot,5.97,"('a', 'a', 'e', 'd', 'c', 'b', 'e', 'a', 'b')",25,11,14653
8,spec_4.dot,6.93,"('a', 'a', 'e', 'd', 'c', 'b', 'e', 'a', 'b')",23,11,17111
8,spec_1.dot,11.4,"('e', 'e', 'b', 'd', 'e', 'd', 'a', 'e')",23,10,8523
8,spec_3.dot,23.8,"('b', 'a', 'b', 'c', 'a', 'd', 'd', 'c', 'c', 'd', 'e', 'b', 'c')",41,23,31352
8,spec_2.dot,8.93,"('a', 'a', 'e', 'd', 'c', 'b', 'e', 'a', 'b')",24,12,12382
4,spec_5.dot,15.4,NAN,16,4,40152
4,spec_4.dot,16.0,NAN,16,4,40558
4,spec_1.dot,16.1,NAN,16,4,40381
4,spec_3.dot,17.7,"('a', 'b', 'b', 'b', 'c', 'e', 'd', 'e', 'b', 'a', 'c', 'a', 'a', 'b')",27,7,43296
4,spec_2.dot,3.06,"('a', 'e', 'e', 'e', 'd', 'e', 'b', 'd', 'b', 'd', 'b', 'a')",27,5,10868
