name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
7,spec_4.dot,48.1,NAN,7,3,141158
7,spec_1.dot,47.6,NAN,7,3,141158
7,spec_3.dot,47.8,NAN,7,3,141158
7,spec_2.dot,49.8,NAN,7,3,141158
9,spec_1.dot,7.66,"('e', 'c', 'c', 'c', 'a', 'a', 'b', 'b')",11,9,8248
9,spec_2.dot,2.83,"('e', 'c', 'c', 'c', 'c', 'a', 'e', 'd', 'b')",11,9,7821
2,spec_1.dot,18.7,"('b', 'd', 'a', 'e', 'e', 'c', 'b', 'a')",42,38,48273
2,spec_2.dot,2.95,"('e', 'c', 'b', 'b', 'e', 'c', 'd', 'c')",18,14,9677
3,spec_5.dot,3.7,"('e', 'd', 'c', 'd', 'c')",16,6,11121
3,spec_4.dot,2.11,"('a', 'e', 'c', 'c', 'd', 'c')",14,6,5854
3,spec_1.dot,3.21,"('e', 'd', 'c', 'd', 'c')",13,5,9311
3,spec_3.dot,4.94,"('a', 'e', 'c', 'c', 'a', 'e', 'b')",16,7,6603
3,spec_2.dot,3.95,"('a', 'e', 'c', 'c', 'd', 'c')",16,5,11006
5,spec_5.dot,21.5,"('a', 'b', 'e', 'a', 'b', 'a', 'b', 'e', 'd', 'b', 'b', 'b')",43,14,58694
5,spec_4.dot,5.12,"('a', 'a', 'b', 'a', 'b', 'b', 'e', 'c')",19,5,11837
5,spec_1.dot,18.8,"('e', 'c', 'a', 'e', 'a', 'a', 'd', 'd', 'c', 'a', 'b')",43,12,43341
5,spec_3.dot,25.8,"('a', 'b', 'b', 'd', 'e', 'a', 'a', 'a', 'b', 'b', 'd', 'b', 'b', 'b')",26,8,18926
5,spec_2.dot,43.2,"('a', 'a', 'a', 'e', 'd', 'd', 'a', 'c', 'c', 'd', 'b', 'a')",21,4,101893
6,spec_5.dot,2.08e+02,"('c', 'e', 'a', 'e', 'e', 'a', 'e', 'e', 'a', 'b', 'b')",49,16,64755
6,spec_4.dot,5.27,"('d', 'd', 'b', 'b', 'c', 'b', 'c', 'a', 'c', 'a')",23,6,13365
6,spec_1.dot,97.2,"('d', 'd', 'b', 'b', 'c', 'b', 'c', 'b', 'c', 'a')",48,9,56284
6,spec_3.dot,46.8,"('d', 'e', 'e', 'b', 'e', 'd', 'd', 'd', 'b', 'a', 'a', 'e')",49,15,46883
6,spec_2.dot,94.7,"('d', 'd', 'a', 'e', 'c', 'c', 'c', 'b', 'c', 'a', 'b', 'a')",49,18,50290
10,spec_5.dot,8.17,"('a', 'd', 'b', 'a', 'c', 'a', 'c', 'b', 'e', 'a', 'b', 'a', 'a', 'a')",24,15,26672
10,spec_4.dot,12.2,"('c', 'b', 'e', 'c', 'e', 'b', 'd', 'c', 'a', 'c')",26,15,13237
10,spec_1.dot,6.39,"('a', 'd', 'b', 'c', 'e', 'e', 'e', 'c', 'e', 'b', 'a', 'c')",21,9,20334
10,spec_3.dot,19.4,"('c', 'b', 'e', 'c', 'e', 'b', 'd', 'c', 'a', 'c')",43,21,47027
10,spec_2.dot,7.06,"('b', 'a', 'c', 'd', 'a', 'b', 'b', 'e', 'c', 'd', 'b')",27,15,22785
1,spec_5.dot,14.3,"('b', 'a', 'c', 'c', 'e', 'e', 'c', 'c', 'b', 'a', 'c', 'c', 'e')",26,3,42742
1,spec_4.dot,37.2,"('b', 'b', 'b', 'c', 'a', 'c', 'e', 'a', 'b', 'd')",21,2,72292
1,spec_1.dot,7.64,"('b', 'c', 'd', 'd', 'c', 'e', 'e')",21,3,24092
1,spec_3.dot,40.8,"('a', 'd', 'b', 'd', 'b', 'e', 'e', 'a', 'e')",28,4,95155
1,spec_2.dot,2.69,"('b', 'c', 'd', 'd', 'c', 'b', 'b', 'b', 'a', 'd')",22,2,11144
8,spec_5.dot,7.02,"('a', 'a', 'e', 'd', 'c', 'b', 'e', 'c', 'a')",24,12,9780
8,spec_4.dot,19.4,"('a', 'a', 'e', 'c', 'b', 'c', 'd', 'e', 'b', 'c')",25,13,13314
8,spec_1.dot,2.26,"('a', 'e', 'e', 'b', 'd', 'd', 'd', 'c', 'b')",23,12,7477
8,spec_3.dot,9.65,"('a', 'a', 'e', 'c', 'b', 'c', 'e', 'a', 'b', 'a', 'a', 'd')",27,15,27828
8,spec_2.dot,9.6,"('a', 'e', 'e', 'b', 'd', 'd', 'd', 'c', 'b')",38,25,31406
4,spec_5.dot,79.9,NAN,16,4,205955
4,spec_4.dot,43.8,"('a', 'e', 'a', 'd', 'c', 'e', 'a', 'c', 'd', 'c', 'a', 'a')",34,12,108929
4,spec_1.dot,32.3,"('d', 'c', 'a', 'e', 'd', 'd', 'b', 'd', 'a')",28,7,90067
4,spec_3.dot,6.25,"('d', 'd', 'd', 'e', 'e', 'a', 'd', 'b', 'a')",22,6,20248
4,spec_2.dot,12.7,"('d', 'c', 'a', 'a', 'd', 'a', 'e', 'c', 'a')",22,7,36846
