name,during_time_spec,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
7,1.29,7,3,3425,8.345205017383352e-06,8.345205017383352e-06,0.0
9,0.898,9,7,2621,0.0001752493053650504,0.0001752493053650504,0.0
2,3.43,14,12,6037,0.00013352328027813363,0.00013352328027813363,0.0
3,3.09,17,7,7751,0.0003421534057127174,0.00032546299567795073,0.00016690410034766705
5,3.14,12,3,4922,0.0001585588953302837,0.0001585588953302837,0.0
6,3.11,18,6,7022,0.00027539176557365064,0.00027539176557365064,0.0
10,7.68,31,17,20658,0.00028373697059103396,0.00045064107093870104,0.00023366574048673387
1,2.38,16,2,6462,1.6690410034766704e-05,1.6690410034766704e-05,0.0
8,88.0,44,27,51524,0.0006342355813211348,0.0006342355813211348,1.6690410034766704e-05
4,2.44,16,4,6339,1.6690410034766704e-05,1.6690410034766704e-05,0.0
