name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_extraction,extraction_mistake_after,dfa_extract_states,dfa_extract_final,dfa_extract_mem_queries,mistake_time_super,extraction_super_mistake_after,dfa_extract_super_states,dfa_extract_super_final,dfa_extract_super_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
2_13,1,65.3,NAN,13,2,134068,33.6,NAN,13,2,67010,9.1e+02,NAN,13,2,2769419,1.56,"('b', 'd', 'a', 'a', 'a', 'e', 'a', 'a', 'd', 'a', 'a', 'c', 'd', 'a', 'a', 'd', 'd', 'd', 'e', 'a', 'a', 'c', 'd', 'd', 'b', 'd', 'c', 'e', 'b', 'd', 'd', 'b', 'e', 'e', 'a', 'e', 'c', 'a', 'c', 'a', 'e', 'e', 'a', 'a', 'a', 'b', 'a', 'a', 'b', 'c', 'b', 'b', 'a', 'b', 'e', 'e', 'b', 'e', 'a', 'c', 'b', 'd', 'a', 'c', 'a', 'd', 'b', 'd', 'd', 'c', 'd', 'e', 'c', 'b', 'd', 'c', 'c', 'c', 'a', 'c', 'c', 'b', 'a', 'd', 'e', 'd', 'e', 'a', 'c', 'e', 'c', 'e', 'b', 'd', 'c', 'a')",3600
2_13,2,1.2e+02,"('a', 'c', 'a', 'b', 'e', 'c', 'd', 'b', 'c', 'a', 'c')",21,2,244814,9.01e+02,NAN,343,59,4856003,1.03e+02,NAN,343,59,231424,2.57,"('d', 'b', 'c', 'e', 'd', 'd', 'a', 'c', 'c', 'c', 'a', 'e', 'c', 'e', 'd', 'e', 'b', 'a', 'b', 'e', 'd', 'b', 'e', 'e', 'd', 'd', 'a', 'd', 'b', 'a', 'a', 'b', 'd', 'e', 'c', 'a', 'e', 'c', 'a', 'd', 'c', 'b', 'b', 'd', 'c', 'd', 'c', 'a', 'e', 'a', 'e', 'd', 'b', 'a', 'b', 'e', 'c', 'd', 'a', 'a', 'a', 'c', 'd', 'b', 'c', 'c', 'a', 'a', 'e', 'c', 'c', 'a', 'd', 'b', 'c', 'd', 'd', 'b', 'a', 'a', 'b', 'd', 'b', 'd', 'e', 'e', 'b', 'b', 'd', 'e', 'a', 'a', 'a', 'c', 'a', 'e', 'c', 'e', 'd', 'e', 'c', 'b', 'd', 'd', 'd', 'b', 'a', 'e', 'c', 'e', 'c', 'b', 'a', 'c', 'd', 'c', 'b', 'e', 'e', 'b', 'c', 'd', 'b', 'd', 'c', 'b', 'd', 'd', 'b', 'b', 'a', 'd', 'e', 'b', 'd', 'e', 'b', 'e', 'e', 'd', 'e', 'b', 'b', 'e', 'c', 'c', 'e', 'd', 'e', 'e', 'b', 'c', 'd', 'a', 'a', 'd', 'c', 'c')",6200
2_13,3,33.1,NAN,13,2,70689,9.05e+02,"('e', 'e', 'a', 'd', 'd', 'b', 'b')",228,39,3303217,14.5,NAN,228,39,37707,40.6,"('d', 'a', 'b', 'b', 'a', 'a', 'd', 'e', 'd', 'b', 'c', 'c', 'e', 'a', 'a', 'e', 'c', 'e', 'c', 'c', 'c', 'e', 'b', 'e', 'e', 'b', 'a', 'a', 'e', 'd', 'd', 'e', 'a', 'c', 'c', 'c', 'a', 'd', 'a', 'a', 'e', 'c', 'c', 'c', 'e', 'a', 'a', 'c', 'b', 'e', 'c', 'a', 'b', 'c', 'c', 'b', 'e', 'd', 'a', 'd', 'a', 'd', 'c', 'c', 'e', 'e', 'e', 'a', 'e', 'e', 'c', 'b', 'a', 'a', 'a', 'e', 'a', 'e', 'a', 'b', 'a', 'd', 'e', 'c', 'c', 'a', 'e', 'e', 'b', 'c', 'd', 'b', 'd', 'a', 'c', 'e', 'a', 'c', 'e', 'e', 'a', 'd', 'b', 'c', 'e', 'd', 'd', 'a', 'c', 'e', 'c', 'b', 'c', 'b', 'a', 'e', 'a', 'a', 'd', 'b', 'b', 'a', 'c', 'c', 'c', 'd', 'c', 'b', 'a', 'c', 'c', 'd', 'c', 'd', 'a', 'd', 'b', 'd', 'b', 'e', 'd', 'd', 'a', 'c', 'd', 'a', 'e', 'a', 'a', 'c', 'c', 'b', 'b', 'b', 'b', 'a', 'b')",103800
2_13,4,30.9,NAN,13,2,80794,9.02e+02,"('e', 'e', 'a', 'd', 'd', 'b', 'b', 'b', 'b')",270,52,3829663,9.02e+02,"('a', 'c', 'c', 'b', 'a', 'd', 'b', 'a', 'd')",270,52,2852984,13.2,"('d', 'd', 'b', 'd', 'b', 'c', 'e', 'c', 'd', 'e', 'c', 'b', 'e', 'e', 'c', 'd', 'c', 'a', 'e', 'b', 'b', 'a', 'd', 'e', 'c', 'c', 'c', 'a', 'b', 'a', 'a', 'e', 'd', 'b', 'd', 'd', 'a', 'e', 'c', 'b')",30800
2_12,1,27.7,"('a', 'e', 'd', 'a', 'e', 'b', 'd', 'b', 'b', 'd')",28,5,30961,9.01e+02,NAN,437,126,5995557,9.98,NAN,437,126,16602,3.41,"('c', 'a', 'c', 'e', 'c', 'a', 'c', 'b', 'c', 'b', 'd', 'a', 'e', 'b', 'c', 'a', 'b', 'b', 'a', 'd', 'c', 'd', 'b', 'b', 'e', 'a', 'c', 'd', 'c', 'a', 'a', 'c', 'e', 'c', 'c', 'c', 'b', 'c', 'a', 'c', 'e', 'b', 'd', 'a', 'e', 'b', 'e', 'a', 'a', 'e', 'a', 'b', 'e', 'b')",5800
2_12,2,49.2,"('a', 'e', 'd', 'a', 'e', 'b', 'd', 'b', 'a')",29,5,82856,9.02e+02,NAN,531,149,7872151,9.12,NAN,531,149,16602,3.82,"('d', 'b', 'a', 'c', 'b', 'a', 'c', 'c', 'd', 'b', 'c', 'b', 'a', 'a', 'c', 'a', 'd', 'e', 'a', 'a', 'a', 'b', 'e', 'b', 'c', 'b', 'a', 'e', 'e', 'd', 'b', 'e', 'a', 'd', 'a', 'a', 'e', 'c', 'b', 'c', 'e', 'd', 'a', 'c', 'e', 'd', 'b', 'd', 'c', 'a', 'b', 'd', 'd', 'a', 'd', 'b', 'a', 'd', 'b', 'c', 'e', 'd', 'a', 'd', 'b', 'e', 'c', 'b', 'd', 'b', 'b', 'd', 'c', 'e', 'c', 'c', 'c', 'e', 'b', 'd', 'd', 'b', 'e', 'd', 'd', 'c', 'e', 'a', 'd', 'a', 'e', 'd', 'b', 'd', 'e', 'a', 'b', 'c', 'a', 'd', 'a', 'c', 'd', 'b', 'd', 'b', 'c', 'e', 'c', 'c')",6600
2_12,3,36.6,"('c', 'a', 'a', 'd', 'a', 'e', 'b', 'd', 'd')",27,5,37854,9.01e+02,NAN,455,127,6230376,9.86,NAN,455,127,16602,25.3,"('e', 'e', 'c', 'e', 'd', 'd', 'd', 'e', 'b', 'a', 'c', 'd', 'b', 'e', 'd', 'd', 'e', 'c', 'e', 'e', 'b', 'b', 'e', 'd', 'c', 'e', 'c', 'c', 'd', 'b', 'd', 'e', 'e', 'd', 'a', 'e', 'e', 'e', 'b', 'd', 'e', 'a', 'd', 'd', 'e', 'd', 'a', 'e', 'b', 'd', 'b', 'b', 'e', 'e', 'b', 'd', 'c', 'c', 'b', 'c', 'd', 'a', 'd', 'a', 'e')",42200
2_12,4,87.3,"('a', 'b', 'c', 'c', 'a', 'a', 'e', 'b', 'd', 'b', 'a')",33,5,79054,9.04e+02,NAN,408,112,5695382,9.25,NAN,408,112,16602,2.99,"('e', 'a', 'd', 'd', 'e', 'b', 'd', 'd', 'b', 'a', 'c', 'd', 'd', 'e', 'e', 'a', 'd', 'b', 'b', 'd', 'e', 'c', 'b', 'd', 'b', 'e', 'c', 'b', 'e', 'a', 'e', 'e', 'd', 'e', 'c', 'b', 'a', 'a', 'c', 'b', 'a', 'd', 'a', 'b', 'b', 'c', 'a', 'a', 'c', 'b', 'e', 'b', 'd', 'c', 'a', 'c', 'e', 'a', 'e', 'b', 'b', 'c', 'a', 'd', 'b', 'a', 'd', 'e', 'a', 'b', 'a')",5400
2_12,5,3.62,"('a', 'e', 'd', 'b', 'b', 'd', 'b', 'a', 'c')",27,5,10752,9.02e+02,"('b', 'e', 'd', 'a', 'e', 'b', 'e')",484,129,6822103,10.1,NAN,484,129,16602,2.78,"('d', 'c', 'b', 'd', 'a', 'd', 'c', 'e', 'd', 'b', 'd', 'd', 'd', 'a', 'b', 'b', 'a', 'b', 'd', 'e', 'c', 'd', 'd', 'd', 'd', 'b', 'b', 'e', 'a', 'c', 'c', 'c', 'a', 'e', 'a', 'd', 'a', 'd', 'c', 'c', 'c', 'c', 'c', 'a', 'b', 'b', 'd', 'c', 'd', 'd', 'b', 'e', 'a', 'b', 'b', 'c', 'e', 'b', 'b', 'c', 'a', 'a', 'b', 'b', 'e', 'c', 'b', 'a', 'a', 'b', 'c', 'b', 'c', 'd', 'c', 'd', 'c', 'c', 'd', 'b', 'a', 'd', 'a', 'a', 'd', 'c', 'a', 'd', 'e', 'a', 'd', 'a', 'c', 'd', 'd', 'a', 'e', 'b', 'a', 'd', 'c', 'b', 'b', 'a', 'c', 'a', 'c', 'b', 'a', 'a', 'c', 'e', 'e', 'e', 'b', 'e', 'b', 'b', 'b', 'a', 'a', 'b', 'a', 'b', 'a', 'b', 'd', 'd', 'e', 'e', 'c', 'd', 'd', 'd', 'b', 'd', 'a', 'b', 'e', 'a', 'b', 'd', 'e', 'a', 'c', 'd', 'c', 'c', 'e', 'c', 'd', 'b', 'd', 'b', 'd', 'd', 'c', 'e', 'd', 'a', 'c', 'c', 'c', 'c', 'c', 'a', 'a', 'e', 'b', 'd', 'b', 'e', 'e', 'a', 'e', 'b', 'b', 'c', 'b', 'b', 'a', 'd', 'b', 'd', 'b', 'e', 'a', 'b', 'b', 'b', 'd', 'b', 'a', 'e', 'c', 'b', 'e', 'e', 'd', 'd', 'e', 'a', 'e')",4800
2_8,1,80.6,"('e', 'c', 'a', 'b', 'e', 'd', 'a', 'a')",18,11,183156,9.08e+02,"('c', 'd', 'b', 'd', 'c', 'e')",279,180,3513167,6.21,NAN,279,180,16602,12.1,"('c', 'b', 'b', 'd', 'b', 'e', 'e', 'c', 'e', 'c', 'a', 'b', 'c')",32000
