name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
2_13,spec_4.dot,28.2,"('a', 'c', 'a', 'e', 'c', 'd', 'e', 'c', 'b', 'd')",19,2,53730
2_13,spec_1.dot,65.4,"('a', 'c', 'a', 'b', 'e', 'c', 'd', 'b', 'c', 'a', 'c')",20,2,148110
2_13,spec_3.dot,83.4,"('a', 'c', 'a', 'b', 'e', 'c', 'd', 'b', 'c', 'a', 'c')",21,2,162899
2_13,spec_2.dot,33.8,"('a', 'c', 'a', 'b', 'e', 'c', 'd', 'e', 'a', 'a', 'd')",19,2,90435
2_12,spec_5.dot,18.6,"('a', 'e', 'd', 'b', 'b', 'd', 'b', 'a', 'c')",28,5,33770
2_12,spec_4.dot,58.2,"('a', 'e', 'd', 'b', 'b', 'd', 'b', 'a', 'c')",28,5,30534
2_12,spec_1.dot,76.1,"('c', 'a', 'a', 'a', 'd', 'a', 'e', 'b', 'e')",27,5,74562
2_12,spec_3.dot,1.29e+02,"('a', 'e', 'd', 'b', 'b', 'd', 'b', 'a', 'c')",29,5,57101
2_12,spec_2.dot,13.3,"('a', 'e', 'd', 'b', 'b', 'd', 'b', 'a', 'c')",29,5,22220
2_8,spec_5.dot,17.3,NAN,15,8,47293
2_8,spec_4.dot,64.6,"('c', 'b', 'b', 'd', 'e', 'c', 'd')",25,14,131746
2_8,spec_1.dot,66.6,"('c', 'b', 'b', 'd', 'e', 'c', 'd')",24,14,154878
2_8,spec_3.dot,78.7,"('e', 'c', 'a', 'b', 'e', 'd', 'a', 'a')",18,11,194390
2_8,spec_2.dot,20.6,"('e', 'c', 'a', 'b', 'e', 'd', 'a', 'a')",18,11,55477
2_5,spec_5.dot,35.0,NAN,12,2,97629
2_5,spec_4.dot,15.7,NAN,12,2,44579
2_5,spec_1.dot,78.0,NAN,12,2,196509
2_5,spec_3.dot,19.1,"('d', 'd', 'a', 'b', 'e', 'd', 'b', 'a', 'b', 'b')",17,2,45896
2_5,spec_2.dot,13.6,NAN,12,2,34370
2_3,spec_1.dot,76.5,"('a', 'd', 'c', 'c', 'e', 'a', 'a', 'e')",23,2,94565
2_3,spec_3.dot,1.44e+02,"('a', 'd', 'c', 'c', 'e', 'a', 'a', 'e')",23,2,186188
2_3,spec_2.dot,53.9,"('a', 'b', 'b', 'e', 'a', 'b', 'e', 'd', 'a', 'd', 'd')",26,3,101913
