name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
2_13,spec_4.dot,6.18,NAN,13,2,17914
2_13,spec_1.dot,6.12,NAN,13,2,17919
2_13,spec_3.dot,18.4,"('c', 'e', 'e', 'c', 'd', 'e', 'c', 'b', 'e', 'c', 'b')",26,6,20774
2_13,spec_2.dot,16.8,"('a', 'c', 'e', 'a', 'b', 'e', 'c', 'd', 'b', 'a', 'c')",36,4,38448
2_12,spec_5.dot,11.4,"('a', 'a', 'c', 'b', 'c', 'c', 'e', 'b', 'e', 'a', 'd', 'b', 'd', 'd')",42,9,33066
2_12,spec_4.dot,26.0,"('a', 'e', 'b', 'a', 'a', 'd', 'a', 'e', 'b', 'e')",55,14,54914
2_12,spec_1.dot,2.25,"('c', 'a', 'a', 'a', 'd', 'a', 'e', 'b', 'e')",27,5,9943
2_12,spec_3.dot,23.3,"('d', 'd', 'c', 'e', 'a', 'd', 'b', 'a', 'c', 'b')",39,7,30991
2_12,spec_2.dot,1.37e+02,"('a', 'e', 'b', 'a', 'a', 'd', 'a', 'e', 'b', 'e')",55,12,65642
2_8,spec_5.dot,4.2,"('a', 'a', 'c', 'c', 'd', 'c', 'e', 'e', 'b', 'd', 'e', 'c', 'd')",39,25,21732
2_8,spec_4.dot,8.09,"('e', 'c', 'a', 'b', 'e', 'e', 'c', 'a', 'd', 'c', 'e')",26,16,18129
2_8,spec_1.dot,2.61,"('c', 'b', 'b', 'd', 'e', 'c', 'd')",19,11,9481
2_8,spec_3.dot,6.81,"('c', 'b', 'b', 'd', 'd', 'b', 'a', 'e')",20,12,21558
2_8,spec_2.dot,2.42,"('e', 'c', 'a', 'b', 'e', 'd', 'a', 'a')",21,13,6045
2_5,spec_5.dot,13.0,"('d', 'b', 'c', 'c', 'b', 'e', 'd', 'a', 'e', 'e')",19,4,22301
2_5,spec_4.dot,5.54,NAN,12,2,17147
2_5,spec_1.dot,5.67,NAN,12,2,17393
2_5,spec_3.dot,25.2,NAN,12,2,40149
2_5,spec_2.dot,5.65,NAN,12,2,17148
2_3,spec_1.dot,28.2,"('a', 'a', 'b', 'd', 'c', 'e', 'e', 'b', 'e', 'a', 'a', 'e')",54,8,69052
2_3,spec_3.dot,9.12,NAN,19,2,25900
2_3,spec_2.dot,34.7,"('b', 'b', 'c', 'a', 'e', 'b', 'b', 'd', 'a', 'b', 'a', 'c', 'a', 'e')",56,5,81305
