name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
2_13,spec_4.dot,7.33,"('c', 'c', 'a', 'c', 'c', 'b', 'e', 'e', 'a', 'd', 'd')",33,6,19541
2_13,spec_1.dot,22.2,"('b', 'd', 'b', 'c', 'a', 'd', 'e', 'c', 'b', 'a')",49,8,46335
2_13,spec_3.dot,12.3,"('b', 'd', 'b', 'c', 'a', 'd', 'e', 'c', 'b', 'a')",18,2,13017
2_13,spec_2.dot,20.4,"('a', 'a', 'b', 'b', 'c', 'a', 'd', 'e', 'c', 'b', 'a')",26,4,23335
2_12,spec_5.dot,12.5,"('a', 'e', 'd', 'b', 'b', 'd', 'b', 'a', 'c')",28,5,12125
2_12,spec_4.dot,4.51,"('a', 'e', 'd', 'b', 'b', 'd', 'b', 'a', 'c')",28,5,10851
2_12,spec_1.dot,5.06,"('d', 'a', 'c', 'd', 'b', 'd', 'b', 'a', 'b', 'a')",34,11,16641
2_12,spec_3.dot,5.82,"('d', 'd', 'c', 'c', 'a', 'c', 'e', 'b', 'd', 'd')",31,5,14206
2_12,spec_2.dot,46.1,"('a', 'e', 'd', 'a', 'e', 'b', 'e', 'c', 'a')",28,5,16101
2_8,spec_5.dot,8.24,"('a', 'a', 'c', 'c', 'b', 'b', 'e', 'e', 'c', 'b', 'b', 'c', 'a')",30,18,17244
2_8,spec_4.dot,1.68,"('c', 'b', 'b', 'd', 'e', 'c', 'd')",19,11,6481
2_8,spec_1.dot,17.8,"('a', 'a', 'a', 'a', 'c', 'b', 'e', 'b', 'b', 'b', 'c', 'e')",37,19,25699
2_8,spec_3.dot,26.5,"('e', 'a', 'b', 'a', 'c', 'a', 'e', 'a', 'b', 'd', 'a', 'c')",41,20,35122
2_8,spec_2.dot,9.84,"('e', 'c', 'a', 'b', 'e', 'd', 'c', 'd')",28,20,18590
2_5,spec_5.dot,7.88,"('e', 'c', 'a', 'b', 'd', 'd', 'e', 'd', 'a', 'a', 'b', 'b', 'c')",23,3,18263
2_5,spec_4.dot,5.66,"('a', 'a', 'c', 'b', 'b', 'b', 'b', 'b', 'e', 'b', 'c', 'c')",23,3,15831
2_5,spec_1.dot,49.8,"('d', 'a', 'e', 'b', 'd', 'd', 'e', 'b', 'c', 'c', 'c')",51,11,107831
2_5,spec_3.dot,13.8,NAN,12,2,34292
2_5,spec_2.dot,6.37,"('b', 'b', 'c', 'd', 'a', 'b', 'b', 'c', 'c', 'b', 'd', 'c')",22,3,20207
2_3,spec_1.dot,10.8,"('b', 'e', 'e', 'a', 'e', 'c', 'd', 'b', 'b', 'd', 'c', 'd', 'e', 'a', 'e')",30,3,22600
2_3,spec_3.dot,13.2,"('a', 'b', 'c', 'a', 'd', 'c', 'd', 'd', 'c', 'e', 'b', 'c', 'a', 'a', 'b', 'a')",35,2,36288
2_3,spec_2.dot,21.9,"('d', 'c', 'e', 'a', 'e', 'c', 'b', 'a', 'a', 'c', 'a', 'e', 'c', 'd', 'e', 'c', 'c', 'd')",52,6,52399
