name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
2_13,spec_4.dot,15.0,"('b', 'e', 'b', 'e', 'e', 'd', 'e', 'b', 'b', 'c', 'a', 'd', 'd')",27,7,15260
2_13,spec_1.dot,13.5,NAN,13,2,35315
2_13,spec_3.dot,28.0,"('a', 'c', 'c', 'b', 'a', 'd', 'b', 'a', 'c')",47,6,65571
2_13,spec_2.dot,20.6,"('e', 'e', 'e', 'e', 'c', 'a', 'b', 'b', 'c', 'a')",51,5,54680
2_12,spec_5.dot,5.78,"('c', 'd', 'b', 'a', 'c', 'd', 'b', 'd', 'b', 'a', 'b', 'a')",36,10,19965
2_12,spec_4.dot,9.7,"('c', 'd', 'd', 'a', 'c', 'e', 'e', 'a', 'e', 'd', 'c', 'c', 'b')",39,14,27117
2_12,spec_1.dot,4.76,"('a', 'a', 'c', 'c', 'a', 'c', 'd', 'b', 'd', 'c', 'b', 'e')",31,11,15168
2_12,spec_3.dot,28.4,"('a', 'e', 'd', 'b', 'b', 'd', 'b', 'a', 'c')",28,5,13302
2_12,spec_2.dot,3.23,"('b', 'e', 'd', 'a', 'e', 'b', 'e')",30,6,14332
2_8,spec_5.dot,9.91,"('c', 'b', 'b', 'd', 'd', 'a', 'e', 'b')",21,12,27642
2_8,spec_4.dot,8.16,"('e', 'c', 'b', 'c', 'd', 'a', 'e', 'a', 'e', 'a')",22,12,18131
2_8,spec_1.dot,6.28,"('a', 'e', 'c', 'e', 'c', 'b', 'c', 'd', 'a', 'e', 'a', 'e', 'a')",25,14,18324
2_8,spec_3.dot,2.78,"('e', 'c', 'a', 'b', 'e', 'd', 'a', 'a')",35,20,16417
2_8,spec_2.dot,14.1,NAN,15,8,38112
2_5,spec_5.dot,12.6,NAN,12,2,33889
2_5,spec_4.dot,12.6,NAN,12,2,33750
2_5,spec_1.dot,12.5,NAN,12,2,33749
2_5,spec_3.dot,12.5,NAN,12,2,33753
2_5,spec_2.dot,12.3,NAN,12,2,33856
2_3,spec_1.dot,15.8,"('c', 'a', 'a', 'c', 'b', 'c', 'e', 'a', 'a', 'e')",25,3,19959
2_3,spec_3.dot,51.6,"('c', 'a', 'a', 'c', 'b', 'c', 'e', 'a', 'a', 'e')",53,6,79982
2_3,spec_2.dot,15.6,"('a', 'd', 'c', 'c', 'e', 'a', 'a', 'e')",23,2,12066
