name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
2_13,spec_4.dot,4.49,"('a', 'c', 'a', 'b', 'e', 'c', 'd', 'e', 'a', 'a', 'd')",23,2,13181
2_13,spec_1.dot,27.8,"('e', 'e', 'e', 'e', 'c', 'a', 'd', 'a', 'e', 'b', 'd')",32,3,65717
2_13,spec_3.dot,22.8,"('a', 'c', 'a', 'b', 'e', 'c', 'd', 'e', 'a', 'a', 'd')",22,2,34643
2_13,spec_2.dot,16.4,"('c', 'b', 'e', 'b', 'b', 'c', 'b', 'c', 'c', 'e', 'e', 'e', 'b', 'd', 'a')",24,3,15705
2_12,spec_5.dot,9.51,"('c', 'e', 'd', 'c', 'e', 'c', 'a', 'a', 'c')",30,6,14220
2_12,spec_4.dot,3.96,"('b', 'e', 'd', 'a', 'e', 'b', 'e')",37,7,19503
2_12,spec_1.dot,3.03,"('b', 'c', 'e', 'a', 'a', 'd', 'b', 'e', 'a', 'e')",31,6,14842
2_12,spec_3.dot,5.42,"('c', 'a', 'b', 'e', 'd', 'b', 'd', 'a', 'c', 'a', 'e', 'c', 'c', 'a')",41,9,25411
2_12,spec_2.dot,37.3,"('c', 'a', 'c', 'd', 'e', 'd', 'c', 'a', 'c', 'a', 'a', 'a')",41,13,32895
2_8,spec_5.dot,8.75,"('a', 'e', 'c', 'c', 'c', 'c', 'b', 'b', 'd', 'b', 'a', 'a')",24,13,26952
2_8,spec_4.dot,2.05,"('a', 'e', 'd', 'c', 'e', 'c', 'c', 'b', 'd', 'c', 'e')",20,11,7508
2_8,spec_1.dot,4.17,"('c', 'b', 'b', 'd', 'e', 'c', 'd')",21,12,14467
2_8,spec_3.dot,3.45,"('c', 'b', 'b', 'd', 'e', 'c', 'd')",22,13,13025
2_8,spec_2.dot,19.0,"('e', 'c', 'a', 'b', 'e', 'd', 'a', 'a')",25,14,56837
2_5,spec_5.dot,4.74,"('b', 'b', 'b', 'a', 'a', 'c', 'a', 'e', 'e')",21,3,17425
2_5,spec_4.dot,20.9,"('d', 'a', 'e', 'b', 'e', 'b', 'b', 'e', 'e', 'd', 'e', 'd', 'a', 'd', 'a')",22,5,52867
2_5,spec_1.dot,13.9,"('a', 'a', 'd', 'e', 'a', 'b', 'd', 'd', 'e', 'b', 'b')",20,3,37365
2_5,spec_3.dot,18.4,"('d', 'a', 'e', 'b', 'd', 'd', 'e', 'b', 'd', 'b', 'c')",18,3,29104
2_5,spec_2.dot,46.4,"('a', 'e', 'e', 'c', 'e', 'e', 'd', 'a', 'e', 'e', 'd', 'e', 'a', 'd', 'b')",27,4,117229
2_3,spec_1.dot,8.17,"('a', 'd', 'c', 'c', 'e', 'a', 'a', 'e')",23,2,12274
2_3,spec_3.dot,21.8,"('b', 'c', 'e', 'c', 'd', 'b', 'b', 'c', 'a', 'a', 'b', 'b', 'd')",29,4,34254
2_3,spec_2.dot,21.1,"('a', 'b', 'e', 'b', 'b', 'c', 'e', 'b', 'b', 'd', 'c', 'b', 'b', 'd')",38,5,28014
