name,extraction_time,dfa_extract_states,dfa_extract_final,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
13,2.63e+04,521,57,0.1361369984895781,0.0937770716295409,0.1652260465227716
12,2.84e+04,536,393,0.00035350288453635877,0.0004916994796242271,0.0002697170261618299
2,1e+02,3,1,0.1154045049525916,0.0,0.1154045049525916
11,1.56e+04,506,249,8.812536498356819e-05,0.00011683287024336693,6.409117453350414e-05
3,1.52e+04,493,404,0.14823988242218883,0.12051343946423368,0.18541676935002957
5,1.35e+04,510,31,0.05182405696615131,0.06487228572313122,0.05869850305127102
14,2.57e+04,531,110,0.00022064722065961583,0.006426141671585876,0.006217511546151293
6,4.18e+04,521,189,9.713818640234221e-05,0.00017157741515740172,8.178300917035686e-05
10,63.7,8,2,4.1058408685526094e-05,4.1058408685526094e-05,0.0
1,1.83e+04,541,316,8.144920096966151e-05,8.545489937800553e-05,4.673314809734677e-06
8,2.18e+04,508,47,0.15842069873519582,0.07309064362425036,0.17919892399567758
17,2.09e+04,491,33,0.08365066605324724,0.013084947659056401,0.08800252356571231
15,1.29e+04,507,418,0.0001351923212816103,0.00018559735958660574,0.00014520656730247032
