name,extraction_time,Timeout,dfa_extract_states,dfa_extract_final,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
13,2.45e+02,300,262,32,0.13627419366006388,0.10446861448961176,0.16968839454966683
12,2.87e+02,300,264,190,0.0003518338435328821,0.0022385177938629105,0.00210833259559173
2,5.96,300,3,1,0.11620464320965831,0.0,0.11620464320965831
11,5.49,300,10,4,8.91267895856542e-05,8.91267895856542e-05,0.0
3,1.82e+02,300,242,203,0.14874760469544643,0.1344556065826757,0.19424933434042813
5,1.87e+02,300,251,15,0.051846755923798594,0.06921479660597682,0.058057925114136676
14,2.85e+02,300,253,48,0.00022865861747630383,0.001146964977589168,0.000920309209317036
6,3.97e+02,300,255,94,9.346629619469354e-05,0.00013953182789064965,4.740076449873744e-05
10,2.88e+02,300,271,72,3.9055559481354086e-05,8.51210911773102e-05,4.873599730151877e-05
1,3.31e+02,300,272,159,8.578870757870086e-05,0.001967465534898299,0.0018830120601223796
8,1.96e+02,300,244,32,0.15862298650481718,0.08780591053550277,0.18938307839069154
17,3.3e+02,300,245,3,0.08343769642120362,0.013235161349369301,0.08798583315567755
15,1.98e+02,300,253,204,0.00012484426706005494,0.00034549148771967076,0.0002793974639819946
