name,extraction_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_extraction,extraction_mistake_after,dfa_extract_states,dfa_extract_final,dfa_extract_mem_queries,mistake_time_super,extraction_super_mistake_after,dfa_extract_super_states,dfa_extract_super_final,dfa_extract_super_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
tomita1_0,0.491,,2,1,1406,0.765,,2,1,2006,0.702,,2,1,2002,43.1,,120000
tomita2_0,0.00165,(),1,1,1,1.17,(),3,1,3022,0.69,3,1,2002,0.0708,"('1', '0')",200
tomita3_0,0.695,,5,3,1892,1.44,,5,3,3517,1.01,,5,3,2802,40.6,"('0', '0', '0', '1', '0', '0', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '0', '1', '1', '1', '1', '1', '0', '0', '1')",112200
tomita4_0,0.00165,(),1,1,1,1.08,(),4,3,2676,0.782,4,3,2202,0.0671,"('0', '1', '1', '0', '0', '1', '1', '0', '1')",200
tomita4_1,0.00138,(),1,1,1,1.1,(),4,3,2685,0.767,4,3,2202,0.0658,"('1', '1', '0', '0', '1', '1', '1', '1', '0', '1', '0', '1', '1')",200
tomita7_0,0.54,,5,4,1484,1.29,,5,4,3302,0.892,,5,4,2602,42.5,,120000
name,extraction_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_extraction,extraction_mistake_after,dfa_extract_states,dfa_extract_final,dfa_extract_mem_queries,mistake_time_super,extraction_super_mistake_after,dfa_extract_super_states,dfa_extract_super_final,dfa_extract_super_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
tomita1_0,0.504,NAN,2,1,1406,0.843,NAN,2,1,2006,0.727,NAN,2,1,2002,42.4,NAN,120000
tomita2_0,0.00173,(),1,1,1,0.878,(),3,1,2222,0.712,3,1,2002,0.0655,(),200
tomita3_0,0.658,NAN,5,3,1878,1.27,NAN,5,3,3489,0.993,NAN,5,3,2802,42.2,NAN,120000
tomita4_0,0.00163,(),1,1,1,1.15,(),4,3,2660,0.761,4,3,2202,0.0657,"('1', '1', '1', '0', '0', '1', '1', '1', '0', '1', '0', '1', '0', '1', '1', '1')",200
tomita4_1,0.00144,(),1,1,1,1.08,(),4,3,2649,0.754,4,3,2202,0.0715,"('1', '0', '1', '1', '0', '1', '1', '1', '0', '0', '1', '0', '1', '1', '0', '0', '1', '0', '1', '0', '0', '1', '1', '1', '0')",200
tomita7_0,0.515,NAN,5,4,1484,1.21,NAN,5,4,3290,0.958,NAN,5,4,2602,42.2,NAN,120000
name,extraction_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_extraction,extraction_mistake_after,dfa_extract_states,dfa_extract_final,dfa_extract_mem_queries,mistake_time_super,extraction_super_mistake_after,dfa_extract_super_states,dfa_extract_super_final,dfa_extract_super_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
tomita1_0,0.518,NAN,2,1,1406,1.03,NAN,2,1,2006,0.745,NAN,2,1,2002,43.3,NAN,120000
tomita2_0,0.00165,(),1,1,1,1.28,(),3,1,3422,0.715,(),3,1,2002,0.0615,"('1', '0')",200
tomita3_0,0.7,NAN,5,3,1882,1.37,NAN,5,3,3506,1.04,NAN,5,3,2802,31.0,"('1', '0', '0', '1', '1', '1', '1', '1', '0', '0', '1', '1', '0', '0', '1', '1', '1', '1', '1', '1', '0', '1', '1', '0', '1', '0', '0', '1', '0', '0', '1', '1', '1')",86600
tomita4_0,0.00163,(),1,1,1,1.02,(),4,3,2659,0.794,(),4,3,2202,0.0703,(),200
tomita4_1,0.00185,(),1,1,1,1.19,(),4,3,2649,0.809,(),4,3,2202,0.0739,"('1', '1')",200
tomita7_0,0.543,NAN,5,4,1484,1.36,NAN,5,4,3297,0.927,NAN,5,4,2602,43.2,NAN,120000
